price,duration,wait_time
26.51,45.71,3.07
18.21,28.55,3.53
13.62,17.14,9.67
16.82,23.7,6.68
20.41,32.05,2.64
15.63,23.24,3.43
20.76,27.22,3.13
25.52,43.77,3.29
16.43,21.17,3.29
22.69,36.93,1.51
16.4,22.16,2.6
16.46,23.64,2.27
21.3,33.53,4.81
17.14,24.89,4.03
10.29,6.55,8.8
20.25,33.87,4.14
12.96,15.95,2
17.81,31.07,11.43
9.88,14.45,5.42
17.83,28.25,4.85
18.73,29.65,3.92
17.62,30.09,4.83
16.19,24.1,2.91
16.49,26.94,2.19
18.67,24.09,2.96
17.08,26.01,3.59
17.84,27.01,2.14
13.29,15.64,3.52
16.27,22.66,8.14
12.95,16.83,3.05
25.6,41.85,2.85
23.12,38.84,5.56
17.57,28.07,1.63
22.77,39.43,6.72
13.37,17.56,6.17
22.65,38.14,2.02
26.05,41.87,2.28
23.5,36.07,2.25
19.82,33,7.35
15.73,18.39,4.04
24.17,40.87,3.57
19.1,27.52,2.07
19.39,29.91,12.31
25.23,42.73,3.94
24.36,41.17,3.02
12.37,12.91,1.58
16.54,22.85,3.41
16.87,22.57,3.94
17.25,23.49,10.54
26.63,46.39,3.97
12.84,16.37,1.55
17.28,24.86,1.68
25.16,43.22,4.45
20.43,28.25,6.39
12.06,14.12,3.09
21.93,37.63,2.28
20.84,31.5,6.28
13.94,20.89,6.97
23.96,44.33,3.36
24.12,36.51,2.15
17.35,24.99,9.49
18.51,29.46,1.86
19.19,30.97,6.25
20.41,33.88,12.76
24.23,38.23,3.05
25.29,41.75,2.96
18.97,26.59,4.7
17.79,25.85,7.38
21.85,35.36,3.22
10.33,11.76,2.37
10.14,11.15,3.86
21.09,32.22,5.01
17.38,27.9,4.51
19.39,31.1,5.47
28.87,49.16,4.82
18.78,29.39,5.11
17.7,31.18,14.64
20.75,33.61,5.49
12.15,16.83,2.12
17.95,25.06,3.91
16.83,26.59,2.5
13,18.42,4.56
15.97,24.32,7.79
15.67,24.1,11.72
21.16,32.91,2.07
21.34,38.75,6.31
19.64,26.44,7.89
22.06,37.29,9.78
15.87,24.87,2.91
15.75,22.79,13.13
11.11,12.67,2.56
22.99,39.9,2.23
25.23,40.89,4.57
16.38,23.53,2.62
22.14,34.54,2.54
19.76,30.92,3.74
22.75,33.44,2.21
13.74,16.04,3.88
12.04,12.17,2.56
19.93,32.46,4.88
