price,duration,wait_time
14.79,22.38,3.95
18.24,29.41,7.47
15.08,19.64,14.45
18.54,27.05,14.02
23.29,42.06,1.62
16.71,23.38,1.88
14.72,19.97,11.38
18.01,28.68,6.35
24.73,43.37,9.8
6.42,5.55,2.43
14.44,24.42,2.38
18.38,29.58,5.75
12.91,14.91,5.58
19.25,31.5,2.9
18.85,30.78,2.25
26.02,39.51,1.7
22.9,36.95,1.74
22.76,39.05,2.89
25.11,42.78,2.93
15.83,21.27,11.23
16.34,25.78,4.36
15.66,23,2.56
19.96,30.33,7.07
12.91,13.66,4.15
18.43,29.15,2.08
18.36,27.59,2.12
14.55,21.18,12.89
19.34,28.33,2.1
21.18,37.15,8.18
13.35,20.38,2.82
19.91,28.03,3.27
15,18.73,2.36
15.07,19.15,2.39
14.32,22.59,9.06
22.25,34.79,6.07
23.13,35.37,5.05
15.16,21.42,10.56
20.47,32.81,4.67
15.2,23.09,2.87
13.37,15.66,1.88
18.34,27.7,3.45
13.65,20.62,1.65
21.08,35.04,4.08
11.11,11.29,2.64
14.66,16.18,7.76
19.1,29.7,5.85
24.93,44.7,5.49
9.04,6.53,21.7
23.36,33.6,3.28
19.78,29.54,9.17
17.89,23.66,3.33
18.59,24.5,14.02
19.78,29.95,5.14
15.78,19.33,7.67
13.35,16.2,2.71
25.62,46.79,2.2
20.01,28.37,2.48
23.44,34.39,4.23
20.14,31.44,1.94
14.41,17.15,3.26
10.23,10.89,7.65
11.73,13.8,3.2
12.27,15.01,1.97
23.24,38.33,1.76
16.86,21.67,4.37
19.25,28.84,15.6
15.85,24.18,2.26
25.36,46.11,2
19.11,27.14,21.39
21.2,35.94,7.16
15.72,24.39,2.67
24.27,42.14,1.78
19.75,24.51,4.06
24.62,45.86,3.81
22.27,37.8,2.13
19.59,29.43,4.95
31.32,59.2,3.94
19.95,32.13,2.45
18.37,28.15,1.53
22.24,39.12,2.39
25.79,44.76,3.18
11.83,14.28,3.92
28.31,49.67,3.5
24.26,37.32,9.15
19,28.5,3
20.33,31.97,6.08
17.68,25.62,1.53
21.57,32.56,1.95
21.79,31.64,2.56
16.37,26.58,1.87
25.23,40.73,4.15
13.61,17.35,3.67
28.24,47.99,1.56
15.63,20.28,7.89
14.76,16.77,3.79
20.07,30.17,9.3
29.09,54.32,2.97
19.24,29.28,3.58
24.39,36.28,2.12
19.52,28.39,4.93
