price,duration,wait_time
24.24,39.87,1.66
18.16,27.47,2.42
17.86,25.38,2.48
23.09,34.95,2.38
19.03,29.99,4.36
22.83,37.36,1.65
22.92,36.43,3.67
20.61,31.95,2.09
13.33,14.49,7.49
14.93,18.99,4.56
21.28,34.1,3.28
10.39,11,11.02
20.23,29.92,1.68
16.05,21.89,2.65
19.74,29.66,1.54
15.51,22.47,3.71
14.5,19.52,1.72
25.94,42.56,3.15
20.42,31.01,1.94
19.76,31.99,2.17
23.49,37.48,2.85
20.62,31.91,5.33
22.19,36.73,8.45
12.35,14.61,1.98
17.8,25.58,4.4
19.33,28.55,2.5
17.71,26.18,5.09
29.86,53.53,4.55
17.89,26.23,1.82
15.53,18.61,3.99
15.19,21.86,5.09
13.55,15.9,3.91
23.69,36.8,2.42
13.05,16.61,4.56
16.09,24.3,5.27
20.28,28.86,3.99
35.3,61.64,1.6
22.79,33.76,1.75
26.46,44.76,2.31
14.66,16.83,3.11
21.04,29.83,2.4
19.43,29.27,7.64
10.32,9.52,5.84
16.37,21.03,1.51
21.21,29.29,1.97
13.17,20.6,3.28
15.52,19.72,10.26
20.52,32.63,1.99
25.7,39.91,13.16
15.32,21.71,4.44
25.08,40.22,1.7
20.18,29.93,5.64
19.12,27.73,3.45
15.78,19.77,2.4
16.74,20.38,2.08
19.47,28.66,2.05
13.18,18.25,7.4
17.1,25.98,5.65
18.84,23.8,3.82
18.37,33.09,4.73
21.58,34.74,5.83
18.1,28.56,5.27
17.93,24.91,4.47
17.71,25.54,1.75
22.07,32.98,1.93
21.84,33.05,2.06
15.12,23.4,2.65
18,22.81,8.84
14.96,18.77,6.7
21.02,32.3,7.37
19.36,30.22,1.81
33.25,58.05,11.18
23.28,37.39,14.94
18.26,23.75,4.84
20.5,31.81,1.81
21.35,32.02,10.89
17.47,26.58,1.59
21.03,35.28,3
19.63,31.4,11.57
22.23,37.5,2.26
13.85,19.15,4.73
21.36,33.06,6.79
19.8,28.61,4.91
25.37,43.16,2.83
18.45,25.9,4.21
22.74,34.19,2.05
15.31,17.27,6.25
26.26,44.34,14.17
19.16,31.62,2.11
37.35,68.89,1.56
28.25,49.46,5.95
26.1,46.63,1.76
17.76,27.71,7.88
16.04,24.66,4.48
16.54,26.99,4.62
22.99,42.79,1.54
19.51,27.81,2.06
18.14,29.91,5.86
15.4,15.75,3.15
18.47,29.55,2.04
