price,duration,wait_time
24.93,42.54,3.92
21.08,36.82,3.56
9.98,11.06,3.03
17.3,25.56,2.83
25.76,43.73,5.19
22.5,33.7,5.75
27.37,45.24,1.77
19.89,32.51,4.07
16.97,26.63,7.68
23.82,40.88,2.81
19.64,28.09,5.79
20,34.13,4.38
15.04,15.2,5.59
23.87,39.49,3.76
22.48,36.36,5.47
19.03,26.11,4.69
13.81,15.21,4.91
14.58,20.22,2.85
27.07,44.49,3.34
22.12,38.48,5.16
21.14,35.51,3.27
25.03,43.31,5.96
17.62,23.49,8.21
10.1,15.22,2.37
17.6,25.33,2.6
25.77,45.09,5.07
18.6,28.81,3.84
25.27,45.81,1.55
17.76,28.63,1.8
22.88,41.21,4.99
20.34,34.09,4.63
7.53,7.32,9.63
19.21,34.41,2.2
20.53,33.52,1.81
18.12,28.05,1.5
20.19,30.46,14.68
17.31,21.62,2.15
16.83,28.81,2.74
20.71,32.23,1.73
24.09,40.72,8.86
20.15,36.39,2.11
19.59,29.33,10.71
15.12,22.18,6.82
14.91,17.83,4.04
12.29,13.71,4.44
19.26,28.01,2.42
24.94,41.56,3.91
23.05,37.75,1.57
23.32,39.96,2.26
16.33,21.5,9.98
15.55,21.79,4.02
28.64,47.26,3.64
21.83,35.11,3.59
24.06,39.32,2.58
23.48,37.18,1.67
21.35,35.73,4.33
10.56,10.79,4.44
19.44,31.04,3
21.66,34.04,2.42
15.99,22.79,1.98
25.84,45.97,4.86
24.87,42.22,2.9
21.76,31.88,2.72
23.21,41.29,10.76
18.76,27.41,2.54
21.12,31.97,7.59
14.16,16.44,2.42
28.4,51.23,3.65
29.51,51.16,3.31
27.81,48.94,5.06
25.14,42.59,8.87
21.57,34.79,8.57
23.19,36.62,3.6
22.4,34.6,3.03
13.43,19.24,2.54
20.53,31.89,1.58
17.49,24.47,3.14
14.28,19.42,1.61
23.6,45.37,4.74
29.2,49.69,2.13
19.02,32.22,4.3
15.9,22.41,6.16
20.5,36.13,2.7
18.67,29.21,4
13.83,18.69,2.42
23.96,37.88,10.49
19.32,26.69,5.8
27.48,46.46,8.72
25.95,43,11.3
32.6,51.61,2.91
25.24,38.42,2.35
17.28,23.76,15.33
10.74,9.94,6.03
15.41,17.14,2.63
21.64,34.55,2.46
16.33,24.4,1.54
9.89,12.51,1.75
18.76,26.81,6.1
23.17,37.64,1.5
29.74,51.11,4.39
