price,duration,wait_time
20.24,28.4,6.79
28.65,52,2.38
19.34,31.61,2.58
9.04,10,1.99
20.05,29.78,2.2
17.62,24.79,3.03
27.81,47.13,8.34
17.67,25.99,14.57
9.21,6.99,3.13
20.44,33.05,1.51
23.4,41.68,11.29
21.37,30.64,12.86
23.84,36.93,1.71
14.08,17.37,11.81
20.18,31.05,4.21
17.42,27.62,6.47
21.62,32.91,2.09
17.91,26.28,1.6
20.49,29.21,4.35
21.13,32.28,3.37
15.09,20.86,2.87
20.73,31.11,1.56
25.83,44.49,2.03
21.96,36.04,3.82
19.37,28.5,6.45
20.15,24.88,2.86
22.17,36.33,14.02
13.65,17.74,3.17
14.73,18.46,8.45
26.28,39.7,2.23
19.6,27.71,4.55
19.44,31.57,2.32
18.86,28.19,4.32
18.2,30.31,1.54
11.64,16.28,2.83
26.98,47.62,1.98
17.1,25.83,4.57
12.19,14.37,13.88
19.46,31.52,5.29
14.73,21.26,5.56
16.36,23.27,4.95
18.52,25.58,2.31
19.42,29.07,2.9
17.34,27.46,4.23
18.15,26.87,6.94
19.5,31.47,4.05
24.05,41.01,3.59
18.47,28.01,2.71
23.6,39.47,2.14
23.67,40.09,4.44
22.96,39.45,2.98
22.95,39.13,3.38
18.4,24.03,3.7
18.26,27.35,4.85
20.44,31.61,12.33
19.94,30.12,13.53
24.83,44.97,4.03
23.29,35.78,3.6
17.01,27.03,10.9
17.37,26.6,15.02
11.45,13.49,1.51
19.69,25.65,4.04
10.29,7.87,8.68
17.74,27.04,4.1
14.38,19.9,2.09
23.7,35.78,2.85
14.24,21.29,1.73
21.6,32.17,2.41
22.81,41.57,1.96
18.89,30.54,3.37
23.55,37.8,8.39
9.46,6.14,6.8
12.16,12.99,3.4
20.6,31.44,4.61
17.27,27.67,3.72
16.11,20.35,3.72
12.46,12.64,8.82
17.47,28.39,2.41
19.11,32.2,10.36
16.99,29.28,2.36
9.82,7.59,2.07
17.58,25.51,3.89
24.87,39.62,1.72
24.46,39.3,11.04
19.08,26.94,4.51
16.15,21.54,2.63
20.86,31.89,2.37
17.35,22.74,4.9
21.26,33.98,9.55
25.09,43.91,10.5
11.17,14.33,4.04
23.89,41.94,1.51
10.31,8.08,1.52
18.59,24.09,1.58
15.04,19.63,7.79
21.83,35.07,4.42
17.75,24.8,6.43
15.92,23.17,3.54
14.03,16.48,3.12
17.95,31.46,4.42
