price,duration,wait_time
13.06,15.51,6.62
16.98,24.32,2.27
28.11,49.42,2.13
11.97,16.6,1.99
15.99,19.5,2.47
23.37,40.38,3.81
25.11,43.25,6.38
11.86,12.55,2.77
30.05,50.65,2.86
17.68,27.16,2.04
18.15,26.92,5.04
22.99,41,3.79
20.49,34.84,3.9
22.46,39.7,3.59
16.91,21.38,8.01
12.1,14.78,3.7
21.36,35.03,3.16
25.08,42.7,3.22
19.96,29.94,3.55
22.31,36.4,6.74
19.62,30.53,3.23
17.7,29.15,3.09
19.22,25.07,2.37
12.44,10.21,9.31
19.38,33.75,7.68
14.65,17.51,2.43
17.36,25.08,1.67
26.82,45.94,3.33
21.14,34.23,2.94
20.06,35.08,9.87
26.27,42.88,2.63
21.7,34.57,4.25
21.42,29.3,5.23
10.49,11.46,4.29
29.96,51.68,5.91
13.2,20.95,3.7
14.93,21.33,2.22
21.42,31.96,1.51
21.58,35.14,2.46
20.71,36.37,6.33
12.99,14.19,2.63
17.95,29.87,3.9
21.16,32.83,8.26
23.76,38.78,5.56
19.38,32.7,4.41
25.64,43.12,8.37
17.01,21.23,3.41
11.82,12.68,3
18.77,29.18,1.95
21.05,32.25,3.09
22.18,37.96,2.46
22.64,37.95,5.25
27.17,45.74,2.15
18.27,28.41,11.31
10.34,10.98,1.86
17.19,27.08,11.05
20.28,31.88,2.58
8.65,8.64,3.81
18.43,30.12,2.37
21.5,38.25,3.54
18.55,28.52,1.64
19.74,29.05,11.93
14.74,18.75,2.99
13.86,21.24,2.01
17.38,22.56,9.11
22.92,33.94,6.04
22.97,33.76,5.79
24.59,44.36,1.82
13.56,17.09,2.84
20.09,32.4,4.58
21.49,36.21,14.61
30.58,52.74,3.12
21.82,39.78,3.35
10.49,7.89,3.39
17.17,25.27,2.26
18.43,27.26,9.99
20.25,32.95,6.87
18.9,29,4.32
22.29,36.51,1.58
28.39,51.47,1.59
21.08,29.72,2.34
18.65,29.58,2.95
14.43,21.68,1.62
20.83,32.45,2.52
18.59,27.17,4.42
18.51,25.47,2.45
21.74,32.49,3.66
17.24,27.06,3.09
17.5,21.3,3.72
21.5,34.71,1.91
14.33,17.17,3.55
23.71,41.63,5.32
20.94,29.12,6.31
11.03,11.21,5.09
25.57,44.89,3.14
25.33,40.52,3.48
14.98,20.75,1.78
22.71,37.67,3.28
14.18,16.35,2.18
18.42,27.74,4.72
