price,duration,wait_time
21.4,33.15,2.13
20.53,27.54,6.21
17.87,24.73,5.09
19.19,28.46,2.24
20.31,34.07,1.88
10.18,12.62,3.86
24.35,41.73,4.43
26.89,46.03,6.15
21.49,32.94,4.42
25.3,41.62,1.65
15.71,21.16,4.19
25,44.71,4.83
17.15,23.26,2.57
19.06,29.27,5.1
25.29,38.68,2.97
24.79,38.91,7.57
23.71,37.15,8.21
18.15,26.02,9.79
16.32,23.89,3.97
17.67,21.48,1.94
22.23,37.01,5.23
21.21,32.73,1.74
17.76,24.45,4.28
23.52,36.07,5.83
21.63,34.2,6.6
19.79,30.57,1.51
18.29,28,4.2
27.3,45.77,13.2
23.97,35.44,5.4
18.75,26.07,6.74
20.74,31.54,2.08
22.45,35.62,1.97
16.65,23.68,1.83
19.65,27.29,3
23.23,37.15,2.59
20.34,33.55,2.13
18.71,24.78,2.61
22.12,39.3,2.27
16.92,21.93,2.94
19.72,27.85,2.19
12.22,12.26,2.11
20.27,29.35,1.83
14.26,17.55,3.49
23.56,37.81,1.51
21.26,33.76,3.48
28.25,51.29,2.44
24.44,41.22,1.69
18.4,30.46,2.46
26.38,45.91,2.19
14.42,17.93,5.08
16.35,25.1,2.35
12.56,14.14,5.78
18.88,30.49,4.3
30.03,54.13,9.82
16.07,24.36,12.56
20.74,31.14,2.8
19.53,33.5,1.64
21.73,31.69,1.97
28.13,47.06,1.63
30.34,52.98,3.3
14.04,18.42,6.03
29.01,50.95,4.47
16.03,22.13,1.54
20.74,30.84,3.69
20.18,31.26,2.02
20.7,35.93,3.22
21.42,35.99,2.12
12.26,14.1,2.35
29.14,50.35,9.05
24.22,44.16,3.38
23.62,35.94,3.03
15.41,18.51,4.69
23.35,40.99,5.09
19.65,32.68,6.61
23.64,41.81,5.37
18.12,26.92,1.59
25.05,42.17,2.39
33.48,60.46,7.4
32.51,54.98,5.88
30.58,52.74,3.12
19.74,32.61,6.21
21.39,33.84,1.52
15.84,25.54,3.27
16.86,28.39,11.49
20.69,36.02,9.25
23.89,37,3.13
14.36,21.46,1.9
20.48,31.8,6.38
18.43,30.48,2.52
25.23,43.06,4.32
17.23,28.69,11.26
19.89,32.75,2.24
22.07,30.13,9.37
16.19,26.54,3.08
25.86,50.47,4.96
19.66,27.89,3.37
16.13,20.61,2.59
19.02,29.54,3.34
20.01,31.52,1.79
20.31,31.26,1.9
