price,duration,wait_time
18.78,34.78,1.55
14.8,19.19,5.64
24.15,41.23,6.29
16.23,23.77,2.29
25.73,40.7,2.57
21.74,33.81,9.47
18.73,30.09,3.76
26.47,46.46,3
18.68,29.06,4.57
22.18,37.48,3.81
19.97,30.84,2.92
14.66,19.47,1.76
20.65,31.06,1.97
16.94,29.02,5.45
18.93,32.42,4.69
18.69,28.86,2.65
14.62,18.43,5.73
19.64,31.92,3.86
25.02,41.58,4.55
28.53,50.08,8.22
23.36,39.7,1.54
19.96,29.64,2.9
23.95,39.98,3.93
16.42,20.7,13.87
19.94,29.43,2.7
22.44,37.82,6.17
17.92,28.35,3.48
18.24,24.08,7
21.62,33.76,6.24
17.85,23.66,4.45
19.07,31.85,4.02
18.26,28.89,11.04
12.47,10.14,2.22
17.72,25.8,2.61
15.13,20.8,8.96
21,31.86,16.59
16.77,24.08,1.65
21.46,37.4,3.78
25.07,40.85,5.14
22.53,35.1,4.54
24.89,40.61,7.71
17.15,26.46,2.08
19.64,34.43,5.59
13.22,14.7,4.16
13.19,17.04,2.81
15.68,20.12,4.51
23.26,37.27,2.15
21.39,36.69,3.59
15.68,26.72,1.64
17.13,21.1,2.28
19.2,26.33,2.19
14.87,21.28,4.82
18.11,30.73,7.23
15.72,23.24,3.8
17.84,24.93,2.2
21.56,32.15,2.47
24.04,35.78,2.61
14.47,16.2,4.07
24.07,41.23,4.46
21.09,38.64,2.31
25.52,42.15,1.54
21.47,36.46,3.2
25.04,41.42,4.79
16.59,23.08,4.09
16.48,23.41,2.68
26.27,39.24,8.62
14.47,20.62,2.94
18.73,27.24,2.54
23.01,35.9,6.09
19.68,33.9,4.79
21.96,38.04,3.88
16.03,22.4,2.53
14.34,17.46,11.15
20.73,34.41,3.31
15.73,23.64,3.49
22.71,39.39,4.63
20.93,36.88,3.33
15.33,18.42,1.72
24.11,42.31,2.11
17.17,23.86,4.26
17.73,23.66,6.58
21.39,33.91,2.53
25.33,43.18,5.84
29.47,51.96,8.54
12.86,16.22,17.5
30.75,57.71,2.42
18.55,28.09,3.47
25.26,42.87,3.6
22.06,36.42,3.58
23.41,40.58,4.73
23.79,38.13,4.91
21.99,35.83,4.71
22.93,39.91,2.6
20.68,32.17,5.26
21.93,35.47,1.93
23.05,36.45,6.43
16.51,21.61,18.68
21.77,36.38,1.88
22.87,36,2.48
7.52,4.3,1.85
