price,duration,wait_time
14.82,19.87,1.86
11.56,12.81,2.05
19.48,28.95,2.59
12.37,12.94,4.25
18.97,31.69,2.17
21.58,34.16,2.66
17.96,27.83,3.48
19.77,31,4.79
18.91,28.94,8.37
21.22,35.08,5.72
22.82,33.36,2.04
27.79,45.97,2.23
19.15,24.87,4.49
25.15,42.28,9.11
17.19,25.91,1.93
27.55,44.24,1.91
15.96,23.22,11.4
17.27,24.37,2.5
16.73,26.33,3.55
18.62,28.88,1.85
9.87,12.02,8.03
21.03,28.52,8.95
21.19,33.06,3.31
26.82,42.8,8.1
20.28,29.57,3.96
25.01,44.95,9.98
20.35,32.31,7.28
26.28,42.39,3.23
20.84,30.41,1.99
17.15,20.87,7.27
25.13,39.12,6.73
23.42,38.11,2.65
15.54,20.7,3.59
24.74,42.74,7.35
17.97,31.48,7.25
20.65,31.16,2.74
23,40.56,1.85
15.68,23,5.48
15.5,26.04,4.75
27.07,46.76,3.9
23.75,40.25,1.75
13.87,19.02,1.76
27.16,44.21,1.6
15.96,22.71,2.28
20.01,33.32,8.01
18.17,31.15,5.32
23.84,40.41,1.98
16.06,26.57,8.18
25.42,43.76,3.46
16.53,23.64,11.9
23.88,40.93,2.63
19.64,32.8,1.82
15.1,22.81,7.16
18.64,25.6,2.95
18.81,28.62,5.36
22.51,35.13,7.08
22.22,34.98,4.49
19.77,28.8,3.87
17.56,23.11,5.37
16.79,25.99,8.7
25.44,41.32,10.6
28.59,45.91,2.2
20.94,29.06,3.77
19.98,31.41,3.77
21.7,36.57,6.82
26.81,46.58,5.52
26.07,43.39,3.02
20.54,30.52,3.84
20.77,34.25,9.59
17.16,25.28,5.75
13.53,14.12,3.8
25.35,41.55,7.81
14.13,19.66,5.51
9.71,9.19,1.67
19.89,26.11,2.38
19.32,31.02,1.71
23.03,37.48,2.2
25.42,43.87,3.55
20.58,33.41,4.17
9.98,12.65,2.06
28.04,49.32,2
18.83,26.12,9.63
21.26,29.66,4.69
8.3,6.48,4.87
21.22,32.56,14.94
6.76,5,4.8
17.79,24.97,4.86
19.34,31,2.06
19.51,26.2,3.49
27.53,47.49,14.29
17.96,25.13,1.94
16.51,23.89,6.72
17.89,26.09,3.58
15.02,21.72,11.56
19.02,28.01,4.2
15.12,22.28,2.78
30.01,53.31,2.4
20.72,28.54,9.8
19.69,29.01,6.38
18.98,28.94,1.84
