price,duration,wait_time
23,36.43,3.81
16.28,23.15,16.87
12.73,15.85,1.68
21.6,32.21,3.69
19.95,29.62,1.93
12.68,15.04,7.57
20.93,33.84,3.15
18.15,25.65,6.22
9.08,7.77,1.62
25.56,43.97,5.13
23.23,35.87,3.18
16.18,17.95,2.26
24.38,42.64,8.87
17.36,24.06,3.07
22.11,36.65,1.51
21.22,31.87,1.83
20.4,35.23,1.64
20.97,38.48,9.56
13.12,14.8,3.35
22.45,34.73,5.4
22.15,39.22,7.73
11.5,14.16,2.67
16.06,23.25,3.06
27.77,48.07,7.57
15.32,19.87,2.53
17.1,26,3.04
25.07,37.86,2.98
15.44,22.81,4.12
24.78,38.85,4.01
20.47,30.24,3.89
18.63,25.61,7.1
12.45,14.48,6.68
20.05,29.24,2.34
13.78,19.41,6.31
24.25,43.28,2.99
17.26,22.18,6.61
19.51,31.17,2.29
19.11,31.95,7.74
18.79,27.56,2.61
17.79,27.81,4.17
28.71,49.96,2.63
24.61,39.89,3.29
19.19,27.82,3.44
21.86,34.86,8.39
18.48,30.2,2.18
18.31,25.96,3.06
9.27,9.7,5.27
11.74,12.98,1.66
22.73,40.26,3.49
20.99,29.43,2.66
10.49,10.23,6.13
24.78,40.06,2.21
19.87,30.16,5.74
16.09,22.19,3.53
21.38,32.39,4.02
15.61,24.93,1.81
16.99,23.56,8.03
16.25,24.35,2.75
13.88,20.48,2.75
20.27,38.26,7.83
18.22,26.69,1.85
24.42,42.22,5.81
16.68,26.48,2.14
11.47,16.31,5.58
10.56,11.5,2.24
21.51,32.39,2.43
16.77,22.06,3.25
18.93,26.5,2.33
29.2,48.1,6.5
24.8,40.98,6.15
28.41,50.78,2.54
21.59,31.47,5.34
28.36,49.13,2.43
18.7,31.8,5.35
12.65,12.28,6.94
22.85,37.47,4.35
22.39,34.57,3.48
23.62,38.5,3.24
8.79,10.21,1.9
20.28,33.74,1.52
14.41,22.61,2.21
20.48,32.41,6.25
14.97,19.45,1.87
17.2,26.22,2.6
14.11,16.93,4.52
15.62,22.5,1.94
17.38,26.12,3.76
17.72,24.84,4.78
17.73,25.03,3.56
23.88,38.69,4.97
17.63,23.31,4.2
13.74,15.77,1.89
15.84,25.81,3.04
13.37,11.84,3.58
20.29,30.37,4.22
16.06,26.57,8.18
19.67,26.87,9.79
19.61,32.02,1.85
24.74,38.84,1.57
25.09,40.36,1.75
