price,duration,wait_time
19.17,28.14,4.16
19.38,30.63,2.74
25.99,45.55,1.69
14.94,20.38,4.94
13.11,16.02,8.32
25.26,44.5,1.75
18.46,28.86,13.21
23.4,37.73,2.38
13.21,19.48,1.6
13.78,14.16,3.53
16.84,24.84,3.22
12.64,14.28,2.68
20.05,31.32,2.36
17.93,27.52,2.98
20.74,32.58,2.59
24.57,43.83,2.66
17.52,28.99,10.67
16.74,24.25,5.31
21.13,37.66,6.04
19.18,26.04,2.63
11.82,11.03,2.14
23.4,38.99,6.54
17.83,25.2,6.22
20.38,32.41,1.65
17.22,22.13,1.93
15.35,20.89,3.67
19.51,29.59,6.88
36.03,64.19,3.15
20.35,28.93,1.65
20.87,34.14,2.1
20.92,36.86,2.04
19.7,34.44,5.79
18.78,32.69,3.39
15.43,25.74,10.73
18.64,26.99,6.09
22.06,34.5,2.5
24.89,38.89,9.2
23.81,36.83,8.32
17.9,30,9.22
20.82,32.28,2.35
20.18,34.21,3.94
11.78,12.7,7.88
24.44,38.52,3.53
20,32.4,1.98
11.27,13.26,1.69
18.22,28.85,4.4
21.5,32.36,2.76
22.77,36.82,2.8
25.33,43.43,1.77
20.46,33.87,2.71
17.73,25.72,5.73
12.7,18.91,6.48
18.83,27.49,8.95
19.93,31.49,2.61
16.06,23.25,3.06
13.07,14.55,5.68
27.41,42.37,1.92
23.73,38.37,7.85
15.98,23.26,2.27
29.66,55.78,2.83
22.53,31.89,5.13
17.1,28.17,3.12
11.23,12.18,2.78
17.57,23.34,10.63
20.11,29.53,9.56
25.51,39.02,8.27
19.03,28.91,3.12
23.36,38.29,10.45
19.86,29.08,3.63
14.89,23.3,2.87
22.63,38.75,2.89
10.03,9.89,9.61
25.01,44.35,1.67
9.5,6.17,6.75
25.79,46.87,3.81
18.09,26.12,6.02
13.36,18.83,7.16
24.88,37.97,7.62
19.66,27.75,3.38
23.17,37.33,4.44
18.06,27.57,4.22
21.29,35.33,3.71
21.15,32.82,2.56
17.2,25.98,3.76
12.75,18.06,1.7
17.01,25.94,7.69
21.42,34.01,1.55
12.72,15.54,11.76
9.96,8.74,2.01
14.68,14.95,1.54
20.45,31.48,2
28.82,48.63,9.42
19.8,31.93,9.8
19.14,25.1,1.85
17.15,24.54,2.89
18.45,25.27,1.73
26.23,42.41,1.84
14.34,20.54,5.43
21.03,32.88,2.04
18.79,25.5,4.86
