price,duration,wait_time
24.11,39.14,5.94
18.95,30.24,6.68
21.06,35.2,1.79
15.85,23.13,6.6
21.44,34.23,2.35
15.17,24.35,8.68
16.29,23.88,2.5
17.6,27.57,4.27
13.49,17.07,10.28
21.97,34.1,8.45
19.26,29.93,6.03
21.24,36.14,9.78
22.48,38.69,4.68
25.04,41.18,2.34
25.23,40.89,4.57
25.23,40.1,9.34
18.84,32.98,2.81
20.36,33.01,8.18
17.91,29.25,3.28
12.12,14.97,3.14
16.15,21.46,1.56
20.1,31.57,13.01
17.73,24.84,3.29
16.17,22.94,2.91
20.44,34.78,18.25
21.28,29.07,6.76
19.16,26.47,6.15
24.9,42.9,1.67
17.59,25.45,2.87
12.98,10.46,5.79
19.62,28.04,3.97
23.86,43.18,2.87
23.97,35.44,5.4
22.55,37.05,2.84
24.64,40.86,5.3
13.45,16.94,10.34
24.2,41.17,5.38
17.3,27.88,2.14
24.4,39.86,7.35
19.93,28.24,1.68
27.88,46.01,3.25
8.95,9.76,1.55
29.14,50.35,9.05
24.93,41.75,4.88
28.08,52.04,4.6
15.88,23.33,9.45
15.21,23.34,6.82
17.46,27.19,8.37
12.63,15.98,3.55
18.58,28.63,1.54
18.55,27.79,2.14
13.75,19.52,3.24
19.55,28.15,2.34
28.89,51.54,3.79
16.17,24.42,4.1
21.46,36.9,25.01
18.29,29.35,2.95
16.44,22.14,2.99
23.68,38.87,5.5
26.41,42.97,1.81
26.81,43.65,11.5
20.58,32.71,2.37
20.53,31.22,4.68
24.21,39.97,9.03
23.16,38.3,2.46
27.26,47.01,2.96
19.67,32.54,7.08
16.48,23.97,4.76
15.04,20.42,21.44
23.15,37.11,6.37
21.79,35.47,3.91
14.95,20.82,8.36
14.93,22.2,1.51
16.75,26.73,2.27
16.38,25.19,4.08
20.47,33.17,1.94
17.87,28.17,6.1
17.89,25.2,5
19.85,35.42,5.52
24.11,39.71,2.16
22.9,35.46,2.22
14.16,16.61,1.58
20.17,31,6.39
12.31,14.5,5.84
7.19,6.8,1.66
18.99,28.44,1.95
18.97,33.42,2.13
10.52,10.4,2.87
19.71,26.5,3.79
22.06,34.62,3.9
20.61,31.39,3.37
21.61,36.61,7.02
16.67,23.04,5.16
19.33,32.37,5.32
20.99,33.69,2.31
17.96,29.85,2.46
16.66,23.47,5.82
19.52,31.13,8.34
27.4,49.42,3.4
13.19,14.85,5.71
