price,duration,wait_time
25.94,44.1,5.31
13.59,22.64,4.27
21.45,32.91,1.71
23.05,35.93,4.26
18.85,28.41,21.89
18.05,27.54,13.79
14.88,19.06,8.9
19.51,32.82,2.39
16.51,21.2,2.17
22,37,3.52
21.38,35.19,4.59
23.88,36.01,3.41
20.68,32.09,15.63
15.6,23.38,3.77
24.17,42.58,3.55
14.57,15.55,5.06
19.16,26.04,3.59
21.19,32.32,1.87
24.82,43.15,9.07
15.85,21.48,6.83
20.73,32.08,5.57
21.68,34.13,4.25
24.18,41.8,3.21
20.22,31.52,4.45
34.12,61.59,2.81
21.39,33.7,5.06
22.11,35.41,4.97
18.01,28.32,2.66
23.97,36.65,2.36
22.85,36.56,8.79
24.3,38.14,2.61
20.35,34.74,5.94
23.86,41.45,10.03
19.51,32,1.54
19.31,28.61,2.98
17.35,23.99,7.53
20.58,30.22,4.71
28.6,51.88,3.04
22.44,36.97,5.58
23.12,37.39,4.59
10.76,10.88,4.23
13.01,10.69,12.18
16.45,25.28,2.76
11.24,13.44,7.31
19.56,30.73,4.16
23.09,36.6,1.87
21.23,28.34,4.34
22.16,34.62,2.74
23.34,38.52,2.84
13.07,18.65,3.41
13.12,13.25,3.4
19.95,29.86,4.02
22.77,38.13,2.45
18.66,27.32,2.15
14.94,18.63,3.41
26.13,47.49,1.57
15.68,21.38,6.29
28.49,47.11,9.72
11.45,10.56,2.41
17.94,28.25,7.16
21.7,31.24,3.73
25.15,41.57,5.92
23.91,41.33,2.53
19.76,30.99,5.78
22.31,33.42,3.5
19.06,26.78,5.56
19.04,30.44,12
26.44,45.04,9.99
13.69,14.78,9.9
15.08,19.36,4.68
12.43,16.86,3.55
17.72,24.23,8.55
16.38,22.39,6.42
25.94,42.56,3.15
17.49,26.48,6.02
17.99,25.86,3.55
23.08,38.43,7.15
20.11,33.7,4.31
25.31,39.58,2.96
27.14,47.36,2.36
19.46,27.18,2.85
21.93,31.45,11.51
21.84,36.15,2.56
18.01,27.28,1.96
22.99,33.07,3.06
21.43,30.99,2.1
9.16,9.51,1.65
16.87,22.43,2.02
7.31,5.94,1.9
19.36,30.31,4.18
23.78,38.52,4.43
18.92,29.96,15.51
18.22,28.34,1.64
25.6,43.03,1.9
8.11,9.73,7.9
10.56,12.36,1.91
18.55,27.41,1.85
15.31,21.17,5.02
25.57,40.45,3.75
8.71,7.68,3.94
