price,duration,wait_time
13.05,15.96,1.94
15.92,23.12,10.6
20.33,31.66,2.96
26.47,42.38,4.26
18.43,30.88,1.7
19.21,28.45,6.4
11.24,12.96,5.21
15.54,23.63,7.36
17.14,22.11,1.7
15.89,22.66,1.97
17.81,27.81,8.48
19.69,34.25,10.83
24.28,39.1,3.49
19.45,33.21,2.14
19.53,31.21,1.55
16.22,21.02,3.25
22.58,41.06,4.46
16.24,23.41,3.38
13.48,17.83,5.08
19.67,30.56,3.56
22.95,41.21,4.65
18,28.23,2.77
14.29,18.72,1.56
19.88,30.35,3.68
23.5,41.67,1.91
17.59,24.78,2.24
20.4,35.23,1.64
20.98,36.2,24.64
21.03,34.04,4.38
22.22,33.44,1.7
19.86,29.91,6.35
12.08,19.13,6.6
21.05,34.99,5.57
28.03,50.8,2.96
23.83,41.74,7.24
26.74,47.61,1.73
17.97,26.66,17.95
23.51,36.98,3.1
26.11,43.84,7.1
23.76,37.76,5.7
25.92,43.43,4.96
21.66,35.07,3.77
18.03,24.9,2.92
19.03,29.27,5.63
24.8,42,3.43
24.67,36.44,3.28
16.9,23.55,5.25
19.36,30.31,4.18
15.94,22.5,3.71
26.13,48.58,3.34
22.19,35.48,1.87
19.22,31.76,4.14
21.73,36.75,2.27
9.55,10.15,5.44
22.46,34.04,2.35
13.97,16.14,2.12
17.66,27.13,1.75
27.93,53.48,5.43
15.47,21.51,3.22
20.84,37.17,3.32
14.33,19.37,5.56
23.97,39.01,2.42
16.67,25.38,2.23
22.74,36.82,1.69
18.91,28.55,4.62
16.27,27.3,3.62
20.89,35.96,3.21
18.45,28.67,1.82
18.38,26.27,4.55
30.87,54.58,5.03
23.76,41.98,3.32
17.39,27.3,2.21
22.59,40.96,5.65
8.75,8.37,3.74
13.39,20.31,6.22
14.57,16.85,7.94
12.95,18.65,2.55
14.88,16.1,5.04
21.66,35.69,5.46
15.3,22.68,5.11
22.77,33.94,6.72
27.28,48.81,3.37
18.06,25.15,2.35
16.93,24.79,1.66
20.75,30.71,4.85
18.84,30.74,1.75
22.53,37.49,5.61
18.43,28.8,2.37
27.68,47.04,3.28
15.78,25.59,3.77
21.55,36.68,4.4
19.06,28.46,2.46
15.12,21.5,1.86
14.45,19.86,3.26
31,53.24,1.55
7.57,7.25,4.55
18.54,24.68,1.97
14.8,21.99,4.45
13.97,17.22,1.87
21.05,34.64,5.77
