price,duration,wait_time
14.53,17.85,3.98
26.14,42.21,9.5
22.89,33.87,1.86
18.07,29.39,3.27
22.75,40.01,1.76
24.33,39.72,3.95
20.45,34,1.82
15.33,20.05,4.1
27.99,47.45,7.38
16.8,23.18,2.21
17.89,29.08,4.67
22.26,39.57,2.52
17.05,24.57,3.71
19.58,28.68,2.32
17.1,24.76,6.11
11.61,18.11,8.46
26.42,43.08,3.59
28.86,54.74,5.24
21.32,33.76,4.22
16.53,27.69,4.92
12.81,14.64,7.64
17.86,28.41,4.56
22.82,38.03,2.47
22.26,37.5,3.09
11.93,9.54,2.26
20.19,33.32,4.17
14.96,17.16,1.63
16.37,23.49,9.21
20.88,34.93,6.83
25.7,42.56,1.9
16.49,27.31,1.53
13.03,13.95,2.66
13.48,18.24,5.49
11.66,12.65,5.1
26.43,45.17,6.18
14.67,19.11,5.38
23.38,39.96,3.82
12.45,14.26,5.49
15.41,19.98,1.89
26.93,45.38,3.71
21.56,37.96,2.19
19.46,23.97,4.47
21.34,38.85,6.72
16.92,22.95,3.69
26.72,49.18,4.7
24.42,39.8,5
22.64,36.58,3.39
16.34,24.03,1.7
20.23,31.26,2.39
22.42,32.5,7.45
14.73,24.94,4.01
12.52,15.94,4.05
12.92,18.67,2
17.72,27.81,3.65
18.13,24.96,4.15
17.67,29.47,2.74
28.2,46.82,3.23
20.32,34.77,1.51
19.11,30.39,7.54
20.25,32.06,5.68
18.18,27.33,12.84
28.41,51.33,2.56
25.75,43.05,8.28
21.16,35.17,9.22
23.95,35.58,2.15
28.64,49.96,3.5
23.98,38.14,3.29
16.24,23.06,4.92
20.24,30.84,3.95
11.01,12.28,2.04
20.78,32.21,5.09
22.63,33,6.74
18.46,26.28,2.95
26.37,42.67,7.16
17.83,26.02,3.06
20.65,32.17,3.81
18.64,28.4,2.28
24.09,38.24,3.89
25.26,42.07,3.08
25.81,43.83,1.93
22.78,36.19,10.07
16.45,24.17,2.92
17.19,27.44,5.37
18.17,29.94,2.21
21.23,33.42,2.83
12.79,15.1,1.7
15.32,20.17,5.09
16.55,25.28,6.56
16.4,22.16,2.6
17.85,25.87,2.1
18.73,31.13,2.92
19.48,33.35,4.22
22.32,37.19,1.92
24.87,40.64,4.35
20.15,29.41,3.37
17.81,29.29,2.23
13.04,17.68,2.24
17.12,22.04,3.03
9.3,7.26,6.83
20.09,33.83,2.57
