price,duration,wait_time
22.05,38.16,2.25
16.42,23.69,4.31
19.43,29.41,2.05
22.69,32.17,10.68
18.46,28.86,13.21
25.64,41.23,2.57
11.15,13.42,2.18
24.44,33.76,1.96
15.71,18.62,2.07
24.36,41.33,1.84
15.61,21.57,1.56
8.18,9.43,4.11
16.6,22.43,1.51
13.74,18.67,3.4
28.58,46.93,3.24
25.91,39.95,1.74
16.28,25.19,1.91
24.84,43.1,7.09
22.17,34.82,2.7
11.77,13.47,2.08
15.13,20.6,2.93
14.32,21.8,2.7
23.98,38.02,8.29
24.58,41.17,5.32
19.47,28.21,1.99
19.86,31.7,3.81
18.56,29.19,4.35
17.44,27.24,4.45
17.7,31.18,14.64
17.74,27.44,2.23
26.85,47.32,5.89
19.31,29.95,3.96
13.4,20.41,1.59
18.66,28.29,10.47
18.01,26.04,4.55
17.29,27.41,1.53
26.38,49.58,8.21
17.6,25.33,2.6
20.17,34.53,7.13
16.47,21.7,2.83
14.13,20.1,3.56
20.81,32.51,5.25
26,44.21,1.96
28.62,50.22,6.25
24.97,41.74,4.58
12.65,12.96,2.96
16.1,25.2,5.04
21.21,31.7,1.64
20.48,32.81,7.13
14.24,21.55,7.41
18.88,27.5,5.73
16.89,22.36,4.44
21.27,34.29,4.3
14.62,19.67,3.48
19.27,33.58,1.85
18.97,33.13,1.81
12.01,11.79,4.68
17.45,26.46,2
17.16,25.57,3.44
29.14,48.12,2.18
17.15,25.58,3.09
18.87,29.08,1.83
26.93,43.08,2.45
22.98,39.6,2.22
16.39,22.52,8.85
19.47,30.96,8.08
26.67,46.81,4.16
19.01,26.55,13.92
15.55,25.02,1.87
21.42,33.87,7.48
11.4,12.88,3.97
26.29,42.85,5.11
20.18,33.38,3.53
16.73,25.37,1.75
15.62,20.8,2.62
23.17,36.74,7.47
23.34,38.06,1.6
25.71,42.63,7.98
19.24,29.79,1.59
12.76,21.17,3.49
24.41,41.08,3.25
21.05,33.46,2.63
23.69,38.4,4.45
16.19,25.62,2.52
23.35,39.65,4.57
19.03,32.46,2.16
12.48,16.8,1.55
18.15,28.76,2.69
25.01,39.17,2.77
19.8,33.5,10.07
18.03,23.11,1.74
22.04,35.14,3.16
13.04,19.29,2.04
16.03,22.83,4.26
20.48,34.37,3.13
16.89,24.45,12.28
24.97,43.37,3.37
9.64,15.01,4.86
14.65,17.8,2.1
21.7,32.59,2.28
