price,duration,wait_time
20.5,33.89,10.61
23.82,36.89,3.12
22.08,35.42,7.32
18.85,28.03,5.23
24.7,41.21,1.82
22.76,33.44,1.6
25.38,40.74,3.58
22.95,41.02,3.5
13.13,16.96,7.43
19.4,28.6,3.23
11.4,9.97,3.07
19.34,28.09,7.95
20.47,29.13,6.75
23.36,37.55,3.4
22.67,34.19,4.71
17.54,26.07,3.29
16.17,20.38,4.58
24.29,40.16,2.68
22.87,37.04,7.68
15.92,20.06,2.77
23.94,38.35,2.42
23.64,39.17,3.88
11.46,14.04,2.46
18.82,25.79,4.05
18.43,29.81,1.51
17.69,24.52,4.16
18.42,26.99,4.18
14.64,20.36,10.2
28.61,46.39,2.34
24.72,41.62,2.17
19.9,28.69,3.99
19.37,32.51,2.9
19.93,30.11,1.95
19.71,26.5,3.79
17.29,24.15,5.59
18.24,27.79,1.78
20.48,29.01,7.26
29.16,51.59,1.93
22.86,39,3.38
22.99,38.54,3.48
17.04,25.41,1.54
23.13,34.72,2.44
22.44,39.69,5.69
26.28,42.39,5.04
27.6,47.62,2.31
14.6,18.68,6.84
27.42,48.96,4.1
22.5,36.26,2.94
11.84,15.66,14.18
18.93,27.08,9.34
23.1,41.88,4.66
16.9,24.16,4.07
21.39,31.71,1.73
25.96,42.59,3.37
15.49,23.09,6.76
16.36,26,1.82
14.37,22.73,3.87
16.25,24.6,3.77
26.47,44.06,2.36
18.23,29.91,3.72
21.21,33.93,3.6
20,32.97,2.23
22.38,34.53,1.63
20.54,30.89,2.3
19.37,31.29,1.91
15.69,21.36,4.34
14.83,19.33,3.57
18.05,27.06,1.92
32.21,55.98,3.05
17.22,23.72,2.35
21.44,37.89,10.56
12.88,18.73,10.13
22.44,38.25,1.98
24.52,40.85,5.35
16.2,22.22,2.05
19.75,28.59,7.4
23.02,35.77,1.88
16,22.11,2
19.94,28.37,6.17
22.6,38.34,2.13
18.84,30.58,2.03
19.19,30.97,6.25
15.35,20.51,4.31
26.06,48.18,5.55
18.52,23.07,5.82
26.76,44.27,6.23
27.2,48.43,2.38
11.55,13.99,2.65
19.72,27.85,2.19
15.36,19.69,8.46
16.21,22.45,2.83
20.55,34.72,7.2
23.88,35.32,1.71
19.2,27.75,9.37
23.35,37.15,1.85
17.14,23.21,3.83
14.92,21.03,1.64
15.88,22.57,1.83
16.41,24.15,2.44
9.35,6.71,5.05
