price,duration,wait_time
19.95,26.37,5.77
13.63,16.88,2.66
21.51,39.85,2.46
21.2,29.33,1.79
19.49,31.26,2.57
24.41,38.92,2.39
15.67,21.01,4.12
25.58,42.65,4.06
24.8,40.42,5.88
20.93,32.88,2.08
18.88,28.91,2.67
14,16.9,6.57
17.49,25.59,4.87
16.78,21.04,5.64
21.7,36.14,2.03
11.39,12.41,2.15
20.32,32.63,3.36
19.95,32.95,5.77
18.5,30.82,3.54
28.68,51.39,5.67
19.47,26.92,4.07
13.82,18.47,2.55
20.81,32.49,2.48
12.12,14.44,9.31
11.43,13.53,2.56
27,44.78,2.71
21.53,35.47,1.69
30.53,52.27,2.83
30.97,51.06,2.44
22.67,38.11,4.74
23.75,39.26,10.21
16.85,24.21,8.76
22.92,37.35,2.67
24.21,39.37,9.14
20.01,29.21,4.61
17.66,23.97,5.34
22.57,35.75,3.73
20.94,31.69,13.9
14.8,20.96,8.62
15.32,21.42,3.14
18.86,29.18,2.65
23.84,40.98,2.35
16.43,22.19,2.51
18.95,32.04,4.86
23.78,37.62,2.34
9.91,9.03,2.37
25.58,44.07,1.96
23.92,35.55,2.79
10.09,10.82,4.49
26.92,45.78,3.42
22.61,37.55,2.83
19.65,32.9,3
21.99,32.56,2.88
19.84,28.68,2.47
16.06,24.26,7.86
19.13,30.13,2.97
20.61,31.1,2.41
21.6,31.29,2.81
21.78,33.54,3.03
25.93,41.57,5.91
15.91,22.7,2.04
18.7,27.83,1.66
18.09,27.48,7.67
13.1,16.25,1.89
22.56,37.24,2.8
12.98,13.79,4.56
14.49,19.76,8.51
10.59,11.36,6.66
19.49,26.4,6.87
25.95,42.78,1.93
22.12,39.03,3.9
24.09,39.98,1.66
8.04,7.79,2.72
20.33,33.39,1.97
22.61,37.4,11.04
21.84,32.13,3.22
19.71,26.34,5.35
15.26,21.38,2.36
18.56,25.91,3.66
13.79,17.66,8.65
13.68,22.32,2.25
14.67,17.74,2.64
23.07,37.76,9.86
21.63,34.76,4.01
14.82,16.31,4.07
12.73,15.25,5.9
13.67,19.19,4.62
24.21,40.56,4.75
23.5,39.51,2.57
21.65,30.82,4.55
16.84,22.1,2.56
17.37,28.95,3.72
24.27,40.42,6.49
17.35,25.12,2.08
21.07,34.52,1.62
25.75,38.31,8.18
18.07,26.95,4.32
11.91,14.06,3.5
18.99,33.06,2.58
18.43,25.99,3.65
