price,duration,wait_time
19.38,31.4,6.23
18.62,30.96,2.07
19.01,30.17,3.59
8.27,7.05,2.09
17.51,25.71,2.33
28.09,47.82,2.25
23.93,42.42,1.82
19.12,31.62,2.67
21.24,34.57,5.71
21.72,33,5.87
21.13,31.68,3.91
28.24,48.35,2.04
26.38,49.58,8.21
19.49,33.02,3.09
15.12,23.57,6.9
24.63,40.41,6.67
19.74,31.98,13.51
24.9,41.41,2.08
14.66,18.34,4.29
16.82,23.32,1.98
22.29,37.04,4.23
18.16,28.28,4.46
22.1,36.3,2.78
16.56,23.67,6.86
20.72,29.99,6.78
11.31,10.68,4.47
22.57,34.72,1.81
21.27,32.64,1.89
11.35,13.5,14.66
23.43,41.04,4.08
17.75,25.66,6.46
19.55,29.95,2.25
17.31,23.15,1.64
26.87,43.65,4.93
19.67,26.77,2.58
14.7,22.58,5.14
21.4,32.99,5.26
20.26,28.32,2.77
21.47,33.03,2.45
18.6,29.17,20.22
21.23,34.47,3.67
20.72,30.97,4.67
21.47,34.05,2.2
26.82,47.66,4
24.78,43.88,1.66
23.54,37.84,2.09
27.41,47.42,2.82
20.93,36.2,2.25
22.58,37.75,2.26
23.15,36.96,1.9
20.28,28.86,3.99
10.8,16.71,4.85
26.44,42.52,3.89
19.69,28.21,6.86
18.62,29.71,11.55
16.83,27.83,3.18
21.53,37.01,3.84
20.24,33.92,3.09
20.23,30.11,8.87
22.69,37.7,1.93
24.04,39.35,6.02
18.26,30.89,4.3
21.71,37.88,2.04
15.48,21.58,5.27
26.03,42.39,3.65
21.67,37.33,3.92
19.7,31.29,1.87
23.34,39.17,3.76
19.07,29.55,1.6
17.06,21.84,2.37
16.59,26.43,10.58
16.49,26.06,8.29
21.57,32.56,1.95
14.43,18.83,4.19
24.82,43.88,5.42
11.36,10.29,3.52
19.92,29.16,10.48
29.2,51.19,3.14
17.89,28.92,8.31
26.15,46.37,1.99
17.29,26.67,12.69
23.75,38.55,4.64
24.97,41.74,4.58
12.29,13.71,4.44
26.12,41.79,5.95
14.65,22.08,3.39
18.98,27.65,15.63
15.23,25.18,2.06
14.77,18.77,2.2
28.96,48.7,10.78
23.95,39.06,4.88
16.31,24.36,8.16
14.58,16.02,2.46
24.84,39.78,3.06
20.04,31.36,4.49
18.05,25.88,6.9
7.6,6.3,1.6
9.25,7.18,6.27
25.33,46.05,2.63
16.32,25.05,3.48
