price,duration,wait_time
18.11,21.94,4.92
23.24,35.32,4.78
20.64,33.3,8.26
10.46,6.4,3.68
16.63,21.95,1.67
14.56,21.43,6.74
19.22,27.21,14.46
24.5,41.71,9.11
19.13,31.49,1.67
20.12,31.87,4.06
22.78,39.93,13.75
27.46,46.3,1.7
23.46,42.89,2.8
12.5,14.03,1.89
14.76,19.64,4.56
22.53,36.07,2.17
12.13,15.78,2.01
23.74,43.55,6.57
18.96,33.65,6.35
26.96,46.92,5.27
20.47,34.83,3.6
16.49,22.67,4.92
17.44,28.16,9.05
23.25,38.07,4.5
20.11,29.36,5.43
21.53,35.55,2.64
25.24,37.15,4.37
11.62,7.56,5.4
10.72,13.4,2.83
17.91,27.82,2.05
19.73,30.75,5.61
15.91,22.4,2.29
21.56,34.67,8.04
15.39,23.9,1.94
14.72,20.6,3.93
24.2,38.9,9.81
24.57,38.85,3.62
25.77,39.98,1.6
20.15,28.97,3.56
24.27,38.06,4.52
20.61,33.83,2.79
15.28,19.54,2.89
17.91,28.07,3.91
19.86,31.98,13.46
18.5,29.2,2.1
26.69,44.02,3.89
19.93,31.37,5.3
24.43,37.93,2.4
10.43,8.69,2.78
29.3,52.35,2.48
29.88,49.69,3.02
25.02,39.72,2.27
23.81,39.34,9.44
13.74,17.87,3.41
18.6,29.72,3.82
16.65,25.6,6.85
22.23,35.3,2.89
25.95,47.09,11.15
19.21,25.9,4.47
20.39,30.39,2.27
19.25,32.28,4.91
34.42,68,1.73
16.04,26.14,4.09
18.87,27.21,3.73
26.1,45.87,7.93
9.24,4.35,4.05
23.35,38.12,2.28
21.87,33.05,2.38
20.42,34.03,1.74
22.3,35.52,1.51
28.91,46.79,2.54
24.37,44.77,4.29
20.18,31.29,8.3
19.77,31.07,1.63
28.73,47.98,5.63
17.89,24.78,4.3
15.88,22.39,8.43
32.6,54.33,1.92
15.27,22.08,1.8
12.6,16.58,1.78
20.93,34.05,1.8
17.81,29.81,5.44
19.34,31.74,3.9
20.25,32.16,2.76
18.02,25.46,4.09
27.93,49.49,6.21
15.92,24.59,2.5
27.86,44.31,1.54
29.89,50.5,3.28
14.38,20.48,5.59
21.08,32.09,2.01
26.78,48.52,3.81
17.5,20.4,3.34
23.64,37.43,4.61
10.21,10.88,1.73
18.05,27.3,4.33
17.47,23.59,4.97
20.42,34.03,1.54
19.11,24.71,1.52
18.95,27.36,9.71
