price,duration,wait_time
13.21,20.53,4.59
16.55,25.3,2.92
25.15,42.11,1.75
17.57,30.43,2.28
21.44,30.64,5.25
23.61,37.13,6.91
21.74,36.29,6.07
22.97,34.01,4.34
22.51,35.18,1.87
18.78,29.49,1.87
19.94,27.91,2.11
18.3,28.33,1.54
22.5,36.61,13.07
13.88,19.34,5.03
27.61,48.24,9.46
21.36,36.25,4.75
25.28,42.12,2.82
24.72,40.29,7.73
24.79,39.8,1.79
20.59,29.06,9.86
22.82,33.36,2.04
24.42,37.66,8.98
27.71,48.94,10.29
17.72,25.54,1.97
19,29.89,2.1
20.4,33.01,3.83
23.26,37.47,7.91
21.34,28.13,2.04
18.15,31.73,3.12
20.24,32.14,1.62
24.91,41.57,7.78
17.41,24.45,1.95
21.51,41.06,2.2
31.96,57.74,9.42
19.43,29.66,13.21
12.24,16.73,9.44
19.05,30.16,2.09
21.56,35.39,3.32
17.66,25.29,10.43
14.85,17,5.23
14.16,16.4,3.97
23.86,38.84,6.74
19.94,28.47,2.12
22.45,35.77,2.22
29.71,48.97,5.01
14.41,15.86,3.23
18.48,33.31,1.94
30.96,56.71,4.14
26.01,44.66,10.49
17.61,25.47,2.08
16.53,19.79,3.71
21.74,34.7,1.87
9.77,10.83,3.22
27.15,46.55,1.58
23.64,38.81,5.47
13.83,20.76,4.26
14.43,22.06,2.52
26.14,44.4,3.55
22.75,36.48,8.33
22.46,36.68,7.15
21.48,36.91,3.13
29.29,49.22,3.79
18.76,29,4.35
18.28,30.04,3.44
21.06,34.49,3.79
25.97,40.55,3.33
17.25,26.23,6.27
27.42,46.04,1.82
14.21,20.07,11.35
22.4,35.52,5.33
18.83,29.27,6.51
15.53,24.69,8.15
29.47,50,3.98
16.43,23.04,7.62
19.06,27.6,1.76
21.92,37.39,13.98
21.56,32.36,3.54
20.18,28.94,5.6
22.94,35.35,4.76
20.52,28.15,3.03
21.81,35.76,1.94
21.38,32.04,9.88
19.08,27.95,1.64
14.03,17.38,3.62
20.99,27.49,2.01
23.14,35,4.24
19.49,33.58,1.64
21.34,38.85,6.72
7.57,6.88,3.56
20.66,34.83,1.54
15.82,20.35,6.06
11.55,10.84,3.57
18.16,28.32,8.82
24.57,42.23,1.8
24.23,40.95,9.45
22.13,30.7,4.35
14.02,17.02,4.9
20.06,34.47,1.65
12.57,16.11,1.6
22.46,35.35,6.06
