price,duration,wait_time
17.25,24.85,4.28
8.41,7.62,4.05
14.98,20.2,2.38
24.89,39.39,2.54
15.12,21.09,5.49
14.31,17.09,4.78
20.23,34.07,2.99
17.25,30.12,6.2
28.09,47.82,2.25
12.64,18.55,2.85
20.45,30.37,1.65
22.16,36.75,2.41
19.84,34.25,10.47
22.4,34.75,4.46
16.56,23.06,2.97
10.21,11.22,3.37
15.58,19.37,3.51
20.05,29.78,2.2
14.38,19.83,2.16
23.31,35,6.78
19.47,25.69,1.86
25.09,44.05,3.38
21.7,36.57,6.82
25.79,44.48,2.79
18.45,25.98,5.72
16.33,25.62,1.96
18.24,23.8,2.02
17.04,25.41,1.54
16.75,17.29,4.06
25.03,41.26,1.69
23.89,38.94,2.63
13,14.46,2.65
9,8.81,2.61
17.06,20.69,1.5
16.97,26.63,7.68
18.94,26.93,2.3
24.34,40.86,6.55
20.88,32.69,6.9
19.05,29.47,2.1
17.82,27.88,10.72
14.7,22.25,4.95
13.94,17.39,3.75
25.75,43.42,2.8
22.9,34.92,5.25
20.02,28.47,4.02
23.99,39.94,6.78
21.04,34.19,4.53
11.11,12.21,1.65
19.84,30.22,1.86
12.2,12.08,6.44
25.62,43.83,1.96
17.95,28.67,1.56
16.67,25.33,16.41
24.69,40.4,6.47
24.47,36.66,3.69
23.19,36.9,8.3
16.84,23.32,6.54
9.06,9.18,1.94
14.2,18.36,2.91
18.46,28.5,6.55
22.13,36.47,7.03
14.82,20.54,2.31
11.91,9.61,3.39
22.46,33.64,2.69
22.17,37.6,4.68
17.3,25.38,5.19
16.11,24.93,8.14
19.99,31.64,1.55
17.39,23.53,6.89
27.32,43.58,1.52
27.8,45.49,9.53
20.52,29.76,2.4
21.52,34.08,9.49
22.85,37.61,3.54
28.21,49.92,1.63
23.58,42.07,6.97
18.17,26.36,3.85
18.91,27.4,2.49
23.07,33.9,3.01
21.07,33.56,2.83
20.18,35.68,1.5
18.59,29.57,2.23
13.35,18.98,4.49
27.14,49.35,3.9
16.87,25.03,4.31
16.33,26.5,5.73
24.25,42.5,4.88
17.3,29.64,2.37
26.47,43.56,3.72
16.9,26.25,5.07
22.2,33.82,3.39
16.99,23.4,3.47
15.82,20.63,3.62
22.02,36.53,2.29
24.41,38.92,2.39
25.48,45.15,5.71
12.54,14.98,3.48
17.75,27.37,2.63
25.19,40.44,2.48
13.47,16.03,5.28
