price,duration,wait_time
11.85,13.01,2.03
19.96,32.28,8.66
31.43,53.07,7.35
15.33,20.08,4.28
19.29,29.9,1.72
20.78,33.65,3.57
28.3,49.16,2.32
28.28,47.02,7.25
17.22,30.03,4.79
23.03,36.23,4.42
18.62,31.12,16.32
16.69,27.15,2.09
23.36,37.89,3.2
26.38,43.55,2.65
21.84,36.88,3.64
18.41,28.3,2.44
20.95,30.33,3.89
25.14,40.93,2.28
22.3,35.43,5
14.39,19.11,2.94
19.68,27.06,2.8
14.78,21,6.19
17.96,26.04,6.45
18.45,27.68,2.1
26.29,46.74,10.73
23,37.69,1.89
19.26,32.31,1.56
23.36,37.86,2.79
28.71,48.58,2.84
20.13,31.89,4.98
24.29,41.14,2.24
13.96,21.68,5.72
23.39,37.16,2.18
14.43,21.37,2.2
22.92,36.43,3.67
15.57,20.34,3.29
25.46,41.91,5.01
23.78,35.76,5.01
21.7,34.96,4.34
22.17,34.15,5.3
18.29,26.71,14
18.32,30.5,5.36
28.19,46.04,4.81
22.88,36.94,4.22
23.9,38.63,2.35
21.1,33.54,3.87
28.4,46.2,4.91
28.68,50.87,4.31
17.16,24.08,3.99
22.69,38.96,4.26
17.1,24.56,2.48
26.04,41.57,5.27
19.26,31.1,3.24
18.71,30.71,6.17
15.43,21.18,1.79
24.09,35.94,3.63
19.38,32.05,4.48
19.35,30.69,3.7
14.43,17.58,2.78
17.56,25.64,5.78
15.47,23.1,2.59
10.1,11.71,9.73
28.7,50.94,4.77
32.55,58.35,4.15
30.51,56.18,9.28
18.55,26.12,6.88
14.34,17.83,3.87
18.34,29.76,2.06
16.34,21.4,2.6
22.93,36.45,4.3
23.11,37.54,1.71
21.21,30.54,8.11
10.93,11.85,3.86
12.89,14.02,4.12
22.7,34.75,2.3
17.05,19.38,3.82
17.45,22.59,1.55
15.49,26.34,5.13
17.93,24.95,8.24
25.69,42.48,2.69
15.13,22.01,1.5
24.15,42.71,4.7
8.57,7.16,2.94
28.12,51.22,7
23.02,40.41,4.79
21.6,36.45,7.02
19.1,31.22,2.7
26.68,45.21,2.25
18.75,27.8,3.36
23.1,36.54,2.03
17.78,23.65,10.57
25.96,42.59,3.37
19.66,33.69,10.56
16.61,22.11,10.17
23.08,43,6.02
26.84,44.5,4.52
18.38,28.41,2.74
19.87,27.97,5.1
16.23,27.33,13.87
24.69,43.71,11.2
