price,duration,wait_time
22.86,36.61,4.04
22.51,35.14,1.71
19.96,30.92,2.57
26.98,46.47,4.1
21.53,32.07,2.5
27.2,47.63,5.08
18.62,29.07,4.07
18.1,29.98,9.3
22.06,33.11,6.25
21.78,34.29,2.33
17.93,27.06,1.58
18.74,29.09,4.88
14.61,19.45,7.18
16.65,25.99,2.68
21.17,33.36,2.52
25.07,44.52,4.02
22.09,34.98,7.17
20.15,32.04,7.11
19.7,33.65,3.13
25.41,46.1,4.4
15.68,16.29,3.86
21.1,37.68,17.14
16.61,27.58,13.49
15.81,22.12,9.69
19.63,33.17,6.6
18.92,26.15,7.47
18.71,25.92,8.13
23.83,39.34,3.31
20.25,32.06,5.68
19.9,32.14,5.45
24.78,40.06,2.21
18.42,26.42,4.67
21.29,34.97,1.71
20.68,33.99,1.71
20.93,35.05,6
23.27,35.74,2.85
20.18,34.76,7.7
17.8,29.02,5.87
18.32,27.39,6.47
24.66,38.56,5.22
26.55,43.63,2.16
24.97,40.37,1.7
20.1,31.07,4.95
19.77,29.08,4.98
21.74,36.29,6.07
13.61,17.7,10.05
22.97,36.8,4.35
23.73,36.51,5.1
17.32,25.2,2
18.67,27.91,1.73
24.4,39.11,4.85
15.88,19.16,3.23
14.68,20.97,2
26.01,40.18,1.81
16.53,22.84,2.62
18.2,25.38,2.65
26.06,43.56,4.87
28.28,50.06,4.76
24.67,46.54,3.58
16.01,18.68,7.07
11.51,13.88,13.03
16.61,22.96,4.73
17.49,23.89,3.09
26.65,44.37,1.73
18.25,26.76,3.61
25.98,44.94,6.47
15.12,23.57,6.9
10.29,11.25,8.28
24.24,42.8,1.66
18.53,25.75,2.73
26.1,46.63,1.76
26.4,44.54,3.86
25.86,42.65,2.96
13.18,17.09,2.49
21.16,34.55,8.36
21.24,33.32,2.63
18.3,24.11,4.95
12.96,17.19,3.47
10.28,10.28,7.24
17.12,20.7,2.81
21.95,38.44,3.95
19.91,29.33,2.11
23.2,34.86,2.87
14.74,19.08,5.94
24.4,38.07,1.92
19.46,30.13,6.42
13.99,18.15,5.56
23.38,37.86,4.04
21.72,35.01,2.59
22.73,37.5,1.88
22.05,35.43,4.41
12.16,11.66,2.87
21.31,33.44,4.63
17.41,26.41,7.89
14.26,16.39,1.89
23.11,37.7,8.87
24.48,41.02,13.01
11.99,14.77,4.07
20.4,30.19,3.29
18.14,27.94,2.41
