price,duration,wait_time
17.13,26.79,2.26
13.58,18.47,3.23
14.98,27.36,2.48
20.58,34.86,4.55
20.69,31.39,10.27
17.97,29.34,6.39
29.19,52.12,5.06
20.93,34.27,4.46
8.57,3.35,1.81
20.71,28.14,21.54
7.97,8.9,1.72
16.64,21.12,4.73
20.84,32.49,7.02
19.17,29.66,1.54
20.84,29.85,2.26
15.63,21.4,2.22
15.56,20.71,5.36
24.95,40.25,10.21
18.07,27.7,3.22
26.54,50.05,11.04
19.22,32.88,1.53
15.92,27.26,1.7
18.29,27.64,3.46
11.15,18.97,2.15
24.4,39.38,1.58
18.53,32.18,4.41
20.01,30.1,3.5
23.61,36.92,2.89
26.32,41.63,6.15
17.25,24.7,1.57
18.4,29.38,5.53
22.04,34.98,5.67
18.11,22.35,2.04
18.02,28.93,6.33
20.21,32.65,1.52
16.37,19.95,2.34
26.06,48.18,5.55
11.55,16.76,2.95
29.41,52.37,4.39
20.53,35.61,5.04
20.68,32.88,6.2
19.68,30.68,5.43
19.04,28.8,2.34
18.61,28.53,1.94
27.54,48.11,3.84
18.38,26.94,2.91
19.66,31.65,5.01
19.45,32.96,6.14
15.31,17.16,17.45
17.49,28.69,3.23
21.28,32.22,4.18
13.18,15.12,2.06
18.15,23.55,2.65
20.57,37.7,7.75
17.08,25.89,4.48
24.4,41.18,2.16
14.96,20.01,6.79
13.27,17.82,3.9
16.31,22.37,1.9
14.13,18.85,3.18
17.76,28.71,4.33
12.95,14.72,6.99
27.97,45.87,2.17
22.88,38.36,4.18
22.52,39.16,2.94
23.69,38.81,4.41
16.18,24.31,5.72
17.59,22.89,1.84
20.96,35.4,2.95
18.21,25.48,1.87
20.93,30.95,6.23
16.11,21.37,5.34
18.74,26.88,2.91
17.49,22.55,2.8
23.71,38.59,4.14
21.1,33.67,10.28
22.44,34.09,5.32
14.94,21.31,3.88
16.79,22.45,5.97
26.18,46.16,5.26
16.5,23.23,3.08
14.22,20.07,7.99
22.65,34.6,2.92
17.09,27.56,8.69
9.52,10.17,9.93
15.96,22.27,2.54
21.09,31.84,8.55
20.74,32.35,5.61
20.32,32.42,2.45
18.05,25.4,7.4
18.28,23.25,3.55
20.4,29.82,16.53
25.03,41.29,2.72
14.65,15.57,17.81
11.7,12.81,2.88
14.2,17.82,5.12
17.69,27.61,1.57
14.35,16.58,6.84
15.97,25.67,1.73
17.14,25.36,4.35
