price,duration,wait_time
24.72,39.08,13.32
19.43,32.83,1.74
19.04,30.05,2.28
19.93,30.21,2.77
18.77,31.28,3.58
16.98,21.27,6.47
10.69,9.7,7.05
14.55,21.22,12.12
15.09,20.85,6
21.21,34.56,1.9
13.92,15.29,2.81
19.08,30.85,1.51
22.08,37.93,2.76
18.08,28.25,1.67
23.17,36.76,4.06
14.58,18.97,2.1
27.94,48.48,11.26
27.84,47.29,3.07
16.33,24.28,2.64
24.53,38.7,4.61
23.28,35.09,2.35
20.1,31.39,3.14
18.32,27.97,1.57
24.23,41.95,1.63
23.03,36.86,2.46
21.91,36.77,5.89
27.76,49,4.72
23.08,41.03,4.65
20.74,37.86,5.24
19.55,29.55,1.71
21.29,31.24,8.79
25.4,41.91,9.18
11.35,14.27,2.11
22.83,35.04,2.52
16.8,24.48,3.79
16.14,21.53,7.73
20.06,30.21,3.35
26.33,46.02,2.89
24.61,42.71,1.68
19.61,28.16,1.65
20.93,32.62,3.35
13.8,18.43,1.63
22.61,36.16,4.23
20.77,34.04,2.05
22.72,38.58,3.3
17.04,20.72,4.74
23.57,37.2,10.81
16.29,24.71,2.03
25.08,42.8,2.48
22.13,33.95,1.83
22.26,37.5,3.09
22.94,38.81,3.83
17.8,31.19,3.91
18.87,29.13,2.18
24.5,41.09,6.1
16.18,25.05,4.86
23.32,37.55,3.88
24.81,41.71,4.11
21.42,35.1,9.63
17.28,24.43,3.22
17.08,25.19,2
11.02,14.59,2.93
21.85,34.84,3.52
14.27,17.95,5.07
26.86,45.19,2.96
19.1,29.64,6.52
27.18,50.31,4.05
18.89,29.75,6.75
18.47,24.63,3.5
15.19,21.19,2.81
24.59,40.4,3.44
15.84,20.58,3.27
24.74,38.84,1.57
21.05,33.86,7.67
22.08,31.87,2.14
20.74,30.43,2.74
22.66,35.22,1.85
21.78,33.96,2.32
25.08,38.1,3.15
20.56,32.89,4.32
19.5,31.11,5.65
22.77,35.7,3.1
19.11,28.85,2.3
24.65,39.26,4.08
22.52,36.92,7.72
29.44,54.06,3.19
18.45,29.36,4.55
16.36,23.64,3.09
23.19,38.71,8.01
14.21,14.87,12.18
14.65,20.18,2.76
18.94,29.7,2.91
18.23,27.62,2.08
18.82,30.48,2.21
14.78,20.87,5.28
13.58,17.58,3.49
15.38,21.2,1.63
24.12,40.06,11.66
21.98,36.37,3.46
23.31,39.69,3.68
