price,duration,wait_time
23.21,34.52,4.09
17.9,27.67,7.04
21.93,36.19,5.49
9.36,5.85,4.59
15.94,22.36,4.44
20.45,30.67,1.86
23.36,39.07,2.52
17.41,29.11,6.5
18.02,26.16,3.65
14.78,23.47,2.9
19.61,27.33,4.38
21.66,35.68,1.72
22.13,38.33,2.53
15.12,21.56,1.82
16.93,23.97,4.42
21.54,35.1,8.99
27.76,46.79,2.16
25.56,39.28,1.73
24.93,41.67,1.69
14.58,21.79,1.82
16.75,20.13,5.57
19.44,28.45,9.71
18.47,29.79,2.06
18.89,25.86,3.43
12.47,14.44,2.69
18.33,30.74,5.75
14.57,20.98,6.92
29.5,52.65,2.35
18.9,30.22,18.12
19.51,30.44,2.15
20.17,33.39,4.27
21.14,37.3,4.35
14.62,20.65,6.51
23.42,40.43,3.36
15.24,22.48,3.58
20.15,29.62,2.65
8.06,3.49,11.13
18.08,24.82,2.49
25.12,38.6,4.93
22.54,37.32,4.1
16.35,23.95,1.66
17.63,27.19,1.93
27.94,45.78,6.08
17.54,28.03,2.61
25.08,42.21,4.4
23.79,40.33,4.32
19.24,30.04,2.82
23.64,38.95,2.79
18.62,24.69,3.07
20.31,31.69,2.45
13.44,16.25,3.96
16.73,24.82,5.9
22.65,40.52,1.58
13.33,22.25,10.74
22.89,36.73,3.09
18.34,26.32,3.5
25.04,44.59,3.66
18.57,28.53,1.5
20.8,32.1,4.63
19.79,29.75,14.39
17.22,25.9,5.9
22.41,35.17,8.67
17.66,26.34,2.04
15.16,19.32,3.08
17.77,29.64,2.9
20.24,34.2,2.22
24.31,41.65,4.27
23.95,37.92,3.39
18.86,28.49,3.34
17.06,25.43,3.22
24.53,36.13,12.33
21.94,34.21,9.34
20.8,31.83,1.59
21.76,40.43,2.61
14.05,17.08,1.77
10.9,9.87,4.32
22.5,38.76,4.39
16.6,22.43,1.51
27.54,45.03,4.74
22.44,37.34,1.63
15.68,26.61,4.82
19.12,31.39,6.85
18.89,31.51,2.89
14.4,19.81,4.26
12.03,14.39,4.24
10.5,15.53,3.23
18.75,28.09,2.8
18.93,28.3,9.67
21.11,35.35,2.25
15.67,20.98,2.14
17.31,26.09,6.01
11.76,15.33,5.3
15.04,21.4,4.06
18.05,27.27,2.19
23.15,38.38,1.61
18.85,26.72,1.88
14.59,21.26,4.01
22.23,38.54,2.8
17.98,24.65,4.07
23.47,41.41,6.99
