price,duration,wait_time
25.03,44.57,5.81
25.74,42.16,2.83
18.07,30.99,1.88
26.47,43.7,3.51
27.32,47.58,1.56
26.87,44.54,8.63
15.06,18.88,2.22
15.34,24.39,3.63
21.54,33.49,2.13
28.39,49.33,3.13
18.36,29.58,2.33
13.79,16.85,3.32
13.82,18.65,12.29
14.95,20.54,2.04
24.62,41.15,1.74
13.12,18.37,5.49
21.94,35.44,1.59
21.42,35.91,3.78
17.54,27.27,6.06
7.35,3.61,9.11
15.23,18.92,3.02
19.61,29.34,2.68
15.98,24.58,1.98
23.03,36.12,4.17
25.95,43.33,2.22
19.48,29.37,2.99
11.76,13.49,3.44
18.98,27.99,4.83
24.49,38.75,3.08
15.2,19.93,6.54
24.04,38.84,2.7
16.28,22.29,6.2
23.77,40.75,5.97
19.22,29.98,2.07
12.46,16.8,5
16.73,26.46,2.66
13.87,18.67,3.62
18.83,27.35,4.38
23.17,39.18,2.22
16.14,26.01,4.44
20.45,30.94,7.42
25.87,46.41,8.57
24.34,42.7,6.27
20.47,35.47,3.73
19.3,29.89,3.57
19.65,27.29,3
21.28,34.78,1.67
14.71,17.34,7.33
16.5,25.18,5.76
13.34,16.65,1.56
20.83,34.06,3.17
23.38,36.56,1.9
17.27,27.67,3.72
18.59,32.23,1.96
18.37,28.77,6.39
26.05,42.33,2.93
17.15,29.09,2.82
25.61,43.41,3.21
17.41,26.62,2.17
25.07,39.19,2.43
22.78,36.93,7.46
24.31,38.79,3.67
13.11,17.2,1.83
17.41,25.03,8.42
20.03,28.71,8.95
18.52,31.68,1.73
14.3,19.6,4.32
16.13,23.67,15.47
11.56,14.25,2.13
22.7,39.23,4.01
18.56,34.57,9.17
8.75,7.66,6.91
16.76,32.15,1.97
21.91,40.9,9.66
14.64,21.06,4.75
20.32,30.31,7.03
20.52,35.21,12.75
23.97,37.84,1.52
19.87,28.12,6.39
20.08,30.45,3.54
18.87,32.88,2.13
29.5,50.09,2.21
19.98,32.29,3.22
24.94,39.01,5.36
25.47,40.45,8.11
27.27,48.24,2.14
18.06,30.39,5.97
23.14,39.17,5
20.06,32.66,2.49
15.91,24.8,1.65
22.35,34.74,5.79
20.78,33.24,5.38
17.18,25,1.6
20.31,30.61,12.73
14.79,19.71,4.78
27.1,47.91,1.69
23.74,40.06,2.14
19.03,27.47,11.27
20.81,33,8.84
26.65,44.9,2.81
