price,duration,wait_time
9.35,9.44,4.43
17.09,26.61,12.84
17.1,25.45,3.01
20.98,31.27,2.91
14.02,23.17,7.44
25.56,42.56,1.54
14.39,22.35,5.58
14.01,18.58,5.43
16.72,22.04,1.68
13.27,14.92,2.24
12.63,16.72,6.01
20.78,33.24,5.38
20.8,29.54,2.23
20.81,34.18,6.49
19.6,30.74,6.82
17.17,25.4,4.41
24.65,40.51,1.85
28.58,49.79,3.89
25.45,41.5,2.44
20.99,32.07,2.69
9.41,6.96,4.68
28.1,45.42,3.74
21.12,36.36,4.18
17.07,22.91,5.33
15.86,23.46,2.06
25.03,42.15,4.2
17.33,25.07,1.67
22.25,34.79,6.07
11.86,15.88,2.01
20.97,32.45,5.33
19.04,30.65,2.3
12.77,15.51,1.64
15.63,23.86,5.48
16.48,25.71,3.41
20.63,34.58,1.59
15.49,22.28,2.09
24.61,42.17,16.37
9.72,5.96,2.78
12.82,14.52,3.69
11.15,11.23,2.26
17.7,23.8,4.31
15.92,24.5,3.71
14.95,19.9,6.41
20.19,35.55,3.52
15.91,23.83,2.81
15.57,21.14,1.9
16.18,22.45,2.65
19.42,28.03,4.42
22.07,33.55,3.32
24.59,38.83,5.28
18.08,27.88,3.76
14.48,17.79,2.43
18.94,31.52,2.09
18.22,26.57,5.01
14.78,17.69,3.32
14.86,22.79,2.04
25.52,44.49,8.23
23.84,34.79,6.3
21.32,37.54,1.54
18.74,27.93,1.76
25.77,44.43,3.08
17.73,27.88,4.16
16.87,26.26,11.8
19.68,30.61,7.67
18.24,27.71,2.25
13.67,18.42,2.32
19.81,27.5,3.06
21.56,36,5.73
16.19,23.16,1.65
15.43,18.76,3.25
11.97,16.6,1.99
24.07,38.24,4.66
24.11,40.73,7.45
17.96,26.04,6.45
20.1,35.73,1.81
16.64,24.73,2.8
25.81,41.36,5.35
22.6,34.45,3.39
19.85,35.37,2.31
18.78,28.85,3.45
24.15,39.88,10.31
19.22,31.76,4.14
23.74,35.92,2.09
19.23,26.47,4.17
22.51,38.65,4.8
14.74,16.36,5.19
27.21,47.02,5.54
21.1,31.26,2.23
20.53,32.05,1.9
14.1,15.92,1.92
22.5,38.2,3.91
13.66,14.98,3.03
18.74,26.59,3.1
14.36,20.78,2.58
16.43,20.76,2.62
24.97,43.57,6.21
16.3,25.35,2.48
15.65,21.52,6.44
25.13,44.05,6.95
19.36,30.15,4.84
