price,duration,wait_time
21.11,34.6,2.62
13.42,16.96,1.76
15.4,20.8,3.78
23.13,35.92,1.94
21.5,29.8,5.01
17.91,28.07,3.91
25.06,42.94,3.88
20.75,26.93,3.96
14.02,15.09,5.91
20.23,32.45,2.57
18.08,24.81,1.66
30.44,49.8,2.01
18.62,30.93,9.87
27.06,45.65,2.1
21.69,34.58,2.37
20.72,31.87,3.88
13.6,11.49,5.96
15.9,22.92,2.48
23.19,35.77,7
22.46,37.19,7.12
21.24,37.18,2.39
15.63,23.24,3.43
26.67,46.1,4.67
25.91,45.66,2.87
18.67,25.46,4.81
17.95,28.29,2.66
12.78,13.73,4.86
21.21,30.22,2.54
12.23,19.17,1.7
13.8,18.88,6.99
20.13,33.46,2.28
25.88,46.97,14.24
13.87,18.59,1.81
22.46,40.85,13.12
21.27,36.71,2.62
16.09,24.96,11.33
28.49,47.73,4.93
26.87,41.85,6.44
23.55,41.74,3.05
19.54,28.73,6.78
24.19,41.65,1.59
21.85,36.89,5.13
21.36,33.99,6
28.71,48.35,9.33
8.29,13.01,8.46
21.34,32.83,2.01
20.23,31.26,2.39
20.66,32.4,1.99
28.2,47.65,2.11
11.76,18.12,8.94
29.15,54.33,5.06
16.99,23.4,3.47
18.02,27.12,3.77
20.06,30.95,4.14
14.41,15.85,5.92
22.6,34.35,3.69
24.09,40.3,8.55
27.95,46.28,3.4
22.19,36.27,2.19
15.45,19.64,1.53
15.5,22.64,2.15
23.75,40.21,4.27
23.62,38.4,8.37
18.43,26.85,7.34
16.73,20.03,4.73
18.99,31.42,2.33
24.26,44,1.84
12.31,10.04,6.99
17.77,25.78,4.61
19.51,30.83,3.3
9.39,8.55,14.44
14.47,16.19,6.84
15.81,23.5,9.72
19.82,30.42,4.74
18.36,27.37,1.85
26.14,45.31,4.23
17.14,25.32,4.35
23.78,38.49,2.47
17.13,23.07,4.22
19.86,32.07,5.99
14.55,17.86,25.64
13.69,17.34,5.49
24.92,39.89,1.89
26.19,46.43,3.37
19.82,30.22,3.35
18.17,24.41,2.52
13.33,17.38,6.37
20.19,32.36,2.38
24.55,40,3.35
32.39,57.81,3.14
14.64,19.89,3.18
19.08,28.89,2.52
16.61,25.91,2.34
18.45,22.59,2.95
20.92,35.99,3.4
15.19,18.35,8.78
18.71,27.47,3.27
24.5,42.97,1.6
30.16,51.39,3.94
19.13,28.36,1.82
