price,duration,wait_time
19.97,29.91,2.12
25.22,38.71,3.22
21.64,35.44,5.79
19.08,30.8,6.88
24.36,43.75,1.79
29.52,48.71,2.02
21.24,33.84,2.09
22.79,36.59,3.07
16.72,23.17,4.82
15.14,22.44,2.66
24.19,35.92,10.96
11.51,15.21,4.46
23.12,35.7,2.36
22.93,37.74,1.86
16.17,21.32,5.31
13.52,15.16,4.05
28.19,47.67,3.56
12.13,14.8,18.25
16.95,25.93,7.64
19.47,30.86,5.1
22.79,38.41,2.44
14.88,20.97,1.84
14.47,19.27,2.96
15.18,18.38,3.15
9.96,8.49,2.39
21.03,32.1,2.62
18.53,27.95,8.79
17.29,25.3,5.43
18.77,34.04,1.86
18.14,27.71,6.76
19.51,30.1,4.17
26.11,43.97,1.88
14.79,24.74,4.4
16.7,20.7,2.31
21.83,36.9,3.63
15.28,21.35,3.73
11.38,12.37,1.56
13,17.05,3.19
18.39,30.01,7.88
11.53,13.28,1.7
19.69,35.05,4.84
16.44,27.5,4.31
28.31,44.68,2.27
17.8,26.51,5.52
22.48,37.74,2.24
20.74,31.89,5.9
20.06,27.42,2
21.74,33.81,9.47
12.83,13.74,5.07
20.54,30.76,3.85
24.14,36.4,10.61
24.37,38.32,11.39
13.98,17.3,3.39
18.19,26.06,2.3
21.72,31.96,8.09
20.07,35.63,6.19
21.16,34.09,3.52
15.25,22.51,1.65
22.95,38.02,2.56
18.9,26.38,1.96
21.33,34.45,7
18.89,27.53,2.89
25.08,40.76,2.02
16.67,24.99,2.3
24.08,38.09,7.27
12.91,15.29,2.49
15.62,19.25,2.12
23.93,40.11,3.07
21.25,38.48,1.88
17.03,23.94,1.62
18.77,27.05,4.16
21.15,37.6,6.05
20.67,35.66,2.45
20.62,34.05,1.71
8.52,9.4,1.52
30.07,50.54,3.19
25.3,41.46,2
16.11,25.2,3.23
24.27,43.36,3.56
22.87,32.63,1.68
9.68,8.96,4.7
27.2,46.13,2.97
13.63,21.14,1.94
17.76,26.27,2.14
16.9,24.62,1.94
15.97,20.93,2.04
34.29,60.5,4.2
19.49,29.98,4.12
22.65,37.08,1.56
19.3,31.92,3.34
13.59,18.94,5.81
19.19,31.84,3.15
13.84,18.02,5.17
16.06,23,2.97
14.12,22.01,4.73
14.05,17.08,1.9
17.18,24.94,5.83
15.57,19.62,3.8
13.65,18.18,5.91
11.33,12.36,1.61
