price,duration,wait_time
24.7,41.72,2.66
22.45,33,7.78
22.74,34.26,7.92
26.44,47.37,8.52
10.2,13.25,4.65
17.27,20.76,10.73
21.24,33.78,3.02
15.29,20.28,6.09
18.01,30.09,6.99
16.73,22.46,3.62
15.14,21.62,6.03
16.24,22.39,5.32
23.62,36.6,10.05
27.68,48.43,3.69
16.99,22.49,3.41
20.66,33.82,9.78
18.39,23.48,1.62
14.95,17.73,2.77
23.33,37.47,5.47
20.53,34.59,7.7
22.1,35.87,2.16
17.19,24.06,1.7
18.46,26.26,3.19
8.24,10.64,10.33
19.01,28.61,1.85
26.4,43.58,1.66
21.33,37.14,6.23
16,16.99,2.62
22.23,38.11,2.53
18.53,28.2,8.19
20.51,34.13,6.1
18.63,28.09,9.28
19.24,33.52,4.05
26.18,45.16,1.97
17.61,23.29,1.81
19.4,34.44,3.09
21.49,34.13,1.55
18.63,31.96,5.16
15.22,23.02,1.96
18.31,26.45,9.09
19.67,34.07,3.75
23.28,35.12,1.95
26.34,42.1,1.71
15.25,16.71,12.76
22.79,36.59,3.07
17.6,24.34,9.68
10.77,8.99,5.82
21.01,35.84,5.51
30.86,57.55,1.96
21.01,33.4,1.72
16.79,26.95,5.7
15.74,23.48,5.33
13.45,19.24,5.04
12.02,16.19,5.71
23.08,38.66,8.17
18.29,27.77,4.9
30.39,51.78,5.05
16.28,25.25,13.61
23.48,37.78,2.51
23.97,38.81,2.46
19.17,30.36,1.98
28.61,48.58,1.56
23.71,36.99,5.95
24,41.77,6.55
21.85,36.97,16.67
18.83,30.94,7.53
22.54,38.97,3.7
16.68,21.54,3.01
18.77,26.4,5.54
24.67,40,2.12
23.52,39.39,8.95
19.52,29.31,3.02
18.47,29.55,2.04
19.09,27.14,3.34
16.01,24.13,3.47
20.48,33.5,4.06
16.85,24.08,4.7
11.2,13.63,3.88
20.01,30.9,6.48
20.04,32.53,2.2
18.92,26.15,7.47
27.93,48.84,1.97
23.23,34.61,4.41
14.9,18.21,3.57
17.95,26.09,9.31
15.85,24.18,2.26
14.87,20.09,2.05
23.13,37.93,3.63
17.61,25.19,3.11
19.48,29.26,2.57
25.21,43.24,2.06
20.98,35.91,2.16
13.19,17.38,1.8
16.85,24.62,5.57
22.12,35.19,3.3
17.35,27.49,1.52
30.51,52.98,6.54
16.84,23.32,6.54
18.01,26.54,5.39
25.47,42.08,2.95
