price,duration,wait_time
17.63,24.73,5.13
15.23,22.06,6.78
17.43,21.34,1.59
24.16,38.92,2.47
24.74,42.9,8.7
11.52,12.27,4.28
25.61,41.89,6.43
24.49,39.09,4.33
19.33,27.6,3.88
19.78,29.92,3.62
20.66,33.31,3.58
25.37,41.63,10.44
16.3,21.58,3.74
16.47,24.96,4.31
25.59,42.16,10.52
19.83,30.04,7.05
19.08,32.43,7.5
14.45,19.86,3.26
15.35,21.72,4.72
24.6,42.43,2.74
14.32,18.7,4.02
16.01,25.31,3.64
21.46,36.31,5.32
21.71,35.57,3.12
15.42,18.74,4.84
20.21,31.14,2.83
24.76,39.85,3.62
10.96,10.9,2.2
26.14,44.4,3.55
21.18,32.7,8.82
12.98,14,2.16
27.83,44.43,6.69
22.08,31.87,2.14
15.26,19.03,2.17
16.89,25.6,6
23.15,35.52,11.09
16.08,23.74,3.14
17.18,21.52,4.84
11.72,12.63,1.66
16.68,26.02,1.64
15.33,23.8,1.78
15.55,21.67,3.18
17.21,26.78,7.24
22.14,35.22,3.41
23.24,39.56,7.15
12.58,19.42,8.11
16.69,25.17,5
16.39,25.52,2.3
20.81,31.18,2.14
15,18.6,4.37
17.14,22.46,23.04
27.95,45.98,5.49
16.75,24.28,9.91
23.94,44.42,4.76
16.43,26.49,5.93
23.38,40.58,2.25
24.48,38.93,4.28
13.97,17.78,3.87
22.38,38.61,4.37
28.74,51.34,1.81
23.77,42.37,2.86
15.16,18.91,7.59
12.38,15.28,3.25
12.09,14.63,3.58
24.15,40.87,1.71
10.02,8.37,9.7
23.96,37.26,1.53
24.23,35.81,2.03
18.33,25.85,5.16
25.84,42.54,2.01
16.1,21.19,2.32
17.12,25.39,1.87
17.98,29.62,2.6
28.64,47.68,1.6
13.3,16.44,2.94
22.52,39.93,2.53
22.01,34.56,6.49
17.1,24.1,7.52
13.13,15.04,5.2
21.35,34.48,2.23
11.35,14.25,1.66
24.81,39.6,11.11
19.02,28.97,4.81
29.38,47.85,3.99
30.75,54.41,7.72
13.57,18.5,4.14
20.82,29.91,3.28
27.56,47.57,3.78
16,25.36,1.89
18.61,26.73,2.44
16.88,25.39,3.21
13.73,14.87,3.17
20.81,34.68,3.97
24.13,43.18,4.63
19.36,33,3.98
22.11,36.03,2.06
12.2,12.21,2.34
14.79,21.82,2.15
15.69,21.03,2.21
24.84,43.96,8.07
