price,duration,wait_time
21.05,32.41,2.93
20.59,35.31,5.86
24.37,39.18,6.19
18.63,29.91,2.56
15.81,18.08,3.65
22.89,38.23,2.52
23.09,34.19,3.46
26.45,50.29,2.55
18.55,29.43,10.09
20.73,33.14,2.51
22.58,39.65,2.33
27.77,49.61,5.3
13.17,13.82,2.57
17.48,23.76,3.59
20.77,31.6,2.18
17.39,23.3,1.63
17.4,25,5.98
22.71,32.33,3.09
19.36,26.36,1.55
25.67,43.6,5.22
22.21,34.27,3.7
21.13,33.98,7.24
10.89,7.82,1.96
15.58,19.94,1.61
17.63,28.55,2.46
22.58,38.57,5.57
23.12,39.11,10.48
12.63,17.18,2.79
17.67,22.34,5.18
13.44,17.7,2.75
12.02,12.97,4.61
18.53,32.43,2.31
21.63,35.92,1.91
22.31,37.79,1.61
18.82,30.83,14.92
31.84,55.29,2.5
11.42,12.35,5.37
23.87,37.78,2.06
16.52,23.71,7.82
14.88,15.95,3.3
29.4,49.18,3.82
23.74,36.5,3.23
21.04,33.21,1.95
20.64,32.62,2.13
24.1,39.51,1.77
16.5,25.95,2.71
20.17,31.47,5.21
22.08,31.87,2.14
15.7,22.24,1.51
23.73,38.15,1.98
23.28,39.98,4.85
22.28,33.12,3.86
29.87,55.88,2.79
19.44,26.23,1.83
21.1,35.35,5.51
16.18,21.3,15.2
8.64,7.11,6.37
16.81,21.02,2.74
22.1,37.83,8.07
17.97,25.15,5.48
19.13,30.23,9.66
11.93,10.89,5.76
17.95,29.61,6.83
12.2,11.99,3.27
21.68,34.3,3.24
26.56,50.53,5.92
18.14,30.57,6.21
20.11,30.16,5.78
15.92,26.45,2.44
19.76,30.87,2.69
29.24,50.45,1.63
27.49,48.32,1.77
20.53,33.39,2.88
27.17,46.5,6.17
20.3,31.27,6.5
29.3,48.89,1.68
23.15,37.74,3.21
17.3,23.84,1.92
19.53,30.77,1.73
12.12,12.93,2.29
14.72,18.1,1.97
26.89,45.62,6.48
33.95,59.48,1.75
15.77,22.49,9.68
17.88,24.7,5.19
21.12,35.79,5.31
20.96,38.93,6.94
23.53,39.38,9.4
21.16,34.59,2.42
23.69,36.91,16.2
14.71,17.37,3.02
11.93,12.22,2.42
15.95,25.5,8.83
22.63,36.54,5.73
25.07,40.82,5.45
18.82,27.61,3.79
18.38,26.18,2.84
22.95,36.66,9.73
23.17,37.84,3.88
14.36,19.33,5.02
