price,duration,wait_time
18,29.43,1.66
20.56,32.78,8.04
16.68,23.46,3.26
24.43,39.16,3.47
19.83,30.04,7.05
17.13,27.71,1.97
19.15,31.25,3.24
24.22,38.83,3.01
23.41,35.03,6.5
18.06,25.42,5.63
30.52,53.81,1.9
25.26,42.87,3.6
22.01,35.17,3.95
22.29,38.07,3.44
16.46,22.27,4.02
21.64,32.09,3.45
28.21,50.99,1.82
19.64,25.75,2.06
14.47,17.57,2.55
25.44,42.74,2.46
21.34,36.72,2.55
25.1,38.12,1.96
10.83,12.03,5.67
26.43,45.17,6.18
11.08,11.74,2.2
22.28,37.75,1.8
17.4,24.42,5.39
15.46,22.51,12.38
24.44,47.63,2.35
19.01,28.91,3.98
20.25,29.68,2.72
16.24,26.53,6.25
23.22,37.33,5.53
17.16,22.28,6.3
20.01,34.13,6.09
22.41,35.28,4.04
18.91,26.56,8.25
21.49,34.79,9.07
21.56,32.21,4.78
17.87,27.24,3.06
20.42,34.93,1.59
14.84,22.68,3
19.87,30.11,4.04
15.03,22.37,4.47
20.93,34.91,6.01
12.75,14.78,9.13
13.04,19.48,7.71
17.74,29.31,3.13
24.96,43.49,3.72
24.09,40.22,12.69
19.17,31.17,3.63
25.13,40.62,6.24
17.28,23.35,13.2
19.4,28.5,1.9
21.42,35.14,2.07
14.85,19.07,12.01
11.46,12.31,2.92
21.17,34.51,6.8
18.16,28.85,2.39
34.7,59.26,6.13
23.68,36.8,2.97
12.72,17.6,2.61
16.74,29.27,11.96
19.53,30.76,3.18
19.93,29.11,3.71
21.44,33.82,2.42
15.73,20.05,3.02
15.52,21.55,5.09
21.05,36.04,13.09
19.13,28.76,2.9
17.29,25.33,18.98
17.98,25.2,4.15
18.93,29.9,1.65
21.09,29.39,3.27
14.05,19.2,4.3
22.4,34.79,10.89
23.02,39.94,3.37
17.48,22.94,4.48
17.07,22.71,3.12
21.13,28.14,5.62
19.16,28.91,2.19
20.84,30.41,1.99
16.58,20.15,5.62
21.56,37.2,4.73
20.47,31.38,1.74
22.81,37.68,5.95
20.56,31.91,2
22.97,40.91,1.7
19.84,29.92,2.27
13.74,15.26,8.45
15.74,20.49,2.87
18.38,27.95,2.26
18.33,26.14,4.16
15.22,16.19,3.38
13.19,19.92,3.93
25.4,39.3,5.27
22.27,35.6,3.91
22.44,36,4.26
16.49,26.73,2.68
23.3,39.97,2.99
