price,duration,wait_time
16.66,28.39,3.27
23.58,41.32,4.18
21.74,37.29,2
15.37,20.38,10.86
22.45,39.27,1.61
16.15,17.76,1.68
19.73,32.76,2.85
17.98,23.19,2.99
21.36,34.28,10.62
22.15,37.23,2.6
18.09,27.48,7.67
22,31.52,2.16
14.61,19.46,1.76
16.84,25.16,1.8
20.98,32.78,6.2
16.66,22.15,3.74
17.59,28.16,2.04
18.38,28.84,2.49
9.44,10.9,2.47
22.23,36.16,1.51
13.98,18.95,2.77
23.13,36.42,3.86
17.55,25,12.72
16.56,25.62,1.84
13.92,19.42,6
11.14,10.66,1.6
10.2,10.05,3.68
20.79,33.96,9.11
14.83,17.2,1.75
21.02,34.09,4.22
15.42,20.18,3.61
14.93,19.45,3.12
21.46,33.45,2.79
20.3,31.73,2.59
27.42,46.04,1.82
21,32.84,2.27
14.94,22.3,2.94
19.73,27.03,16.91
14.69,15.71,2.33
18.69,28.28,3.19
26.72,42.15,7.82
23.36,35.76,1.93
18.4,29.53,2.47
27.8,51.56,3.21
18.04,26.69,3.18
17.88,28.02,13.86
24.29,44.11,2.65
12.3,16.41,9.05
8.42,8.73,3.54
18,31.37,2.53
12.27,17.63,5.02
20.28,31.46,10.35
22.58,39.41,6.07
12.04,12.88,2.95
18.22,23.36,2.63
17.86,26.52,4.05
17.78,28.78,3.18
17.77,21.92,2.99
18.35,24.89,4.29
23.48,37.54,4.81
23.47,36.88,4.79
12.52,14.06,3.47
24.06,40.1,2.04
24.82,37.23,5.88
20.21,32.27,1.98
25.09,40.19,3.7
20.54,32.98,4.03
26.22,41.66,3.46
14.22,19.34,4.91
14.49,16.55,1.92
21.2,35.23,7.03
14.11,12.45,2.34
16.88,23.69,3.7
25.04,44.46,6.67
18.32,30.19,1.99
21.53,31.98,5.8
10.48,9.85,2.86
23.51,41.72,3.16
26.54,43.77,1.86
15.41,18.21,1.68
29.64,49.95,4.35
17.58,25.79,1.92
14.06,18.29,2.11
15.2,22.81,3.29
16.13,22.2,2
14.74,20.93,9.74
14.76,18.33,1.97
19.16,29.6,4.03
18.92,30.34,2.76
18.41,28.62,7.89
23.64,37.35,2.16
16.6,23.71,3.86
20.12,32.9,2.62
23.8,38.95,4.55
17.25,27.39,4.99
24.02,40.93,2.72
21.11,34.97,5.16
15.75,24.31,2.02
23.39,34.24,5.78
20.59,34,3.96
