price,duration,wait_time
17.65,28.63,5.17
18.43,27.42,3.31
17.57,29.86,2.17
23.26,34.07,2.11
23.55,41.21,2.6
25.25,41.12,3.87
22.08,35.95,2.08
22.09,34.46,3.56
20.54,33.67,2.26
22,36.26,9.44
19.18,27.44,3.45
20.66,30.58,5.91
20.18,28.94,5.6
14.84,18.02,2.12
22.27,39.11,3.86
16.31,23.41,8.02
20.5,31.74,4.25
15.64,22.12,2.16
29.96,52.35,6.73
29.1,47.54,3.86
11.78,10.59,7.6
18.39,27.74,1.75
24.69,43.87,1.93
17.48,26.8,3.74
17.91,25.68,2.64
15.84,23.68,4.94
29.97,52.29,1.64
26.33,42.35,6.72
19.84,28.38,1.5
19.92,29.04,1.71
16.49,24.8,13.1
16.84,24.73,13.95
16.67,24.98,2.9
18.38,27.72,12.98
15.84,22.18,3.26
13.87,18.67,3.62
21.06,35.9,7.03
17.48,26.17,2.83
12.12,13.03,3.1
19.16,25.18,1.66
16.48,23.29,3.81
20.29,28.62,2.68
21.98,34.53,2.58
10.15,10.56,2.82
21.63,34.54,2.65
15.33,22.41,4.01
19.52,31.99,2.43
17.68,28.1,4.24
17.97,25.91,7.89
20.96,34.94,2.26
18.37,26.62,4
17.47,25.24,5.26
21.87,35.28,3.48
19.31,33.39,4.37
13.56,19.52,9.36
17.96,27.42,2.05
26.34,46.81,6.64
17.5,28.03,4.94
17.02,21.42,7.76
24.9,39.88,1.89
20.33,29.45,4.43
31.5,55.46,3.79
15.54,22.1,3.09
24.35,36.8,7.12
18.18,27.8,2.34
12.38,15.37,5.6
25.15,41.22,1.6
19.24,28.68,5.97
19.12,31.96,3.81
14.05,18.51,7.3
20.2,28.94,4.63
14.18,18.19,7.86
14.5,16.39,2.21
23.36,37.46,4.35
17.75,26.48,5.69
21.4,35.82,3.94
26.31,46.15,3.78
14.55,20.86,6.86
12.46,11.48,9.67
20.11,26.88,3.79
20.41,30.39,3.43
27.53,46.99,4.72
21.62,31.31,3.22
20.6,33.02,8.37
18.1,23.77,1.9
16.03,27.12,7.95
18.61,29.53,7.22
21.67,37.12,2.04
19.97,31.64,4.41
21.16,34.59,3.03
15.3,20.22,2.65
23.12,37.55,2.08
18.3,27.05,2.89
24.22,38.83,3.01
21.83,30.44,4.87
25.57,46.17,4.1
16.67,23.28,2.34
14.36,19.89,9.17
17.59,26.73,3.71
15.77,22.53,1.7
