price,duration,wait_time
16.19,20.07,3.67
21.58,34.98,4.22
20.97,30.3,1.55
19.75,29.38,3.56
24.78,39.94,7.63
31.38,56.96,3.68
24.29,42.03,4.09
23.92,40.72,1.7
19.15,30.9,6.09
17.67,25.79,4.75
31.32,56.8,4.24
10.98,13.02,8.88
21.38,31.33,6.69
9.71,8.7,9.12
19.68,30.61,7.67
20.21,26.96,3.31
13.81,20.83,1.77
17.01,23.02,2.6
22,35.21,1.72
18.43,25.5,1.84
19.26,29.03,1.57
27.13,47.2,3.06
21.51,33.68,3.88
19.76,34.29,4.36
26.68,43.35,5.24
21.27,35.65,2.49
17.98,29.99,3
21.36,32.61,3.42
30.93,55.34,3.47
19.97,31.88,4.3
22.77,38.15,3.05
12.13,12.43,4.73
17.7,26.02,1.71
14.68,20.51,2.56
17.78,29.37,6.26
12.88,17.76,4.48
22.01,37.31,2.59
9.5,9.06,8.64
13.94,20.01,1.85
9.93,13.88,1.64
18.68,29.46,6.94
21.6,34.03,1.94
13.44,16.52,2.27
19.54,28.73,6.78
23.17,38.74,6.64
21.89,37.11,6.64
20.06,30.57,1.69
12.56,14.49,2.88
23.28,37.59,6.1
24.91,39.69,5.73
12.07,12.59,2.52
23.11,33.31,2.29
23.66,38.46,5.84
24.73,37.4,8.66
19.62,30.07,1.99
13.16,17.73,6.81
17.78,29.31,9.06
19.89,32.13,4.44
27.86,47.97,6.55
14.26,23.46,1.88
22.15,33.57,3.34
23.61,39.45,1.78
24.76,44.07,4.08
13.1,16.72,1.68
11.81,15.41,3.57
22.43,40.31,1.97
15.4,19.92,3.54
14.81,23.61,2.75
14.59,21.96,13.79
15.33,22.88,2.88
28.24,45,10.22
12.66,14.81,2.63
22.3,35.43,5
25.62,46.16,3.42
20.56,29.95,4.52
16.63,20.68,3.57
18.25,29.19,1.86
23.19,38.7,2.85
22.01,37.54,2.05
20.02,32.05,4.84
16.75,25.56,3.66
21.11,34.74,1.71
26.54,43.45,1.67
20,30.94,10.64
14.34,21.43,2.08
21.05,30.69,3.17
15.69,20.99,6.63
20.64,31.86,4.06
16.66,24.27,11.92
32.36,56.99,4.99
22.09,36.73,1.91
18.48,29.95,3.72
18.36,28.34,3.11
30.5,55.52,2.86
10.46,10.96,3.11
14.45,18.18,1.59
17.47,28,3.09
22.46,34.04,2.35
19.28,30.62,3.46
15.56,17.54,4.91
