price,duration,wait_time
22.46,40.96,2.91
12.39,16.06,5.78
19.28,27.17,3.87
20.65,32.31,10
21.58,34.34,5.14
14.73,21.14,4.23
27.77,50.47,5.72
25.88,42.94,1.63
25.09,44.05,3.38
20.61,30.5,6.07
18.32,30.11,3.81
20.09,29.54,3.93
23.73,41.73,3.27
15.49,20,2.69
17.85,27.34,6.1
27.2,47.57,5.13
20.99,31.34,2.13
22.4,38.71,3.29
10.97,15.64,1.9
23.76,38.94,3.37
10.54,12.66,2.03
22.48,37.75,2.32
12.64,14.05,7.95
22.4,38.67,2.28
25.03,41.31,4.68
12.2,15.93,2.6
25.39,44.05,2.7
19.74,30.21,1.55
17.58,27.41,5.17
26.21,42.71,2.32
17.29,29.47,3.37
26.55,44.31,3.79
14.91,25.69,8.83
17.83,28.13,3.19
17.66,23.49,2.75
23.56,38.01,3.43
16.42,27.07,7.38
17.42,29.01,2.28
17.07,25.58,1.97
14.43,18.72,6.28
12.94,14.35,3.05
17.35,27.09,5.8
21.27,34.23,1.59
14.1,21.08,3.73
16.1,19.93,5.38
17.12,25.9,4.63
17.56,26.62,7.73
22.6,34.95,5.54
23.02,38.17,2.9
24.73,42.41,2
17.48,22.69,15.16
23.6,45.37,4.74
17.22,23.06,5.74
27.52,49.99,2.3
16.06,23.67,1.61
20.96,34.51,13.31
21.25,29.2,6.29
19.45,31.05,3.34
19.21,28.27,3.32
16.68,23.84,1.52
23.21,37.32,3.39
19.69,31.82,2.46
16.56,23.91,2.86
26.36,45.55,8.12
13.93,21.96,4.66
17,28.18,2.84
19.56,29.32,8.74
17.03,28.35,2.48
12.16,13.75,6.13
20.16,30.57,4.05
18.32,28,3.33
18.73,27.26,4.99
16.33,24.84,5.16
20.25,31.13,2.81
18.14,28.36,11.1
18.6,30.29,4.06
17.41,25.75,1.85
20.88,33.27,1.54
18.55,28.29,6.23
19.38,31.2,2.11
9.96,12.08,6.14
17.67,23.92,4.41
24.75,40.61,2.87
22.88,35.93,5.9
25.25,45.24,7.36
26.02,42.56,1.57
19.73,27.96,1.87
15.82,20.73,2.28
16.46,22.25,3.41
20.72,34.23,2.26
19.88,27.9,3.95
16.95,25.52,3.2
28.21,47.35,4.65
20.52,29,5.41
17.4,25.28,2.51
15.36,18.36,1.89
20.72,31.22,2.7
13.7,19.32,3.52
26.25,43.92,4.17
14.2,21.98,8.68
