price,duration,wait_time
20.79,30.69,7.32
13.93,20.03,3.44
15.44,19.7,5.89
21.04,30.42,1.82
27.93,52.85,7.39
18.87,29.4,4.21
22.31,36.4,6.74
21.48,31.72,2.68
15.21,20.55,1.98
11.16,11.04,3.74
19.01,26.97,3.11
24.87,42.27,8.21
17.62,24.45,5.48
20.14,31.83,1.86
11.03,10.33,1.6
18.95,31.3,6.46
16.18,21.59,3.82
23.83,39.93,3.3
30.17,52.68,2.95
14.06,19.68,1.67
23.7,38.1,2.33
17.41,27.5,8.93
25.2,41.06,4.81
13.3,17.97,13.83
13.06,19.75,3.43
20.4,29.85,5.06
14.87,17.8,2.11
20.57,30.16,8.74
16.83,26.26,8.97
19.05,24.37,2.69
18.74,32.39,17.84
18.24,31.42,6.91
23.25,39.98,4.49
11.66,16.24,1.78
23.21,38.88,9.09
21.2,31.6,4.05
21.83,32.51,2.05
10.56,10.45,2.77
18.58,29.9,5
15.84,19.11,7.43
20.97,32.21,3.49
11.84,14.95,3.55
22.29,36.59,7.35
19.5,29.99,14.05
24.02,36.93,2.91
9.39,4.38,6.88
14.9,21.63,2.99
16.29,21.61,2.69
14.72,17.34,14.33
22.41,33.06,8.7
19.88,31.36,5.02
15.46,23.91,9.55
19.63,28.19,15.12
20.58,32.52,2.77
24.16,42.41,2.75
18.98,28.29,4.16
22.89,38.19,3.87
16.02,21.18,9.44
16.21,22.49,2.04
21.4,33.1,2.91
22.19,35.39,1.88
26.62,46.5,2.51
18.46,25.09,7.32
19.61,31.77,2.06
26.6,46.26,3.86
23.13,35.64,14.23
25.41,39.11,2.28
22.98,37.83,1.58
17.63,22.68,1.83
19.64,31.28,1.86
21.85,35.89,9.61
27.22,46.14,2.24
29.5,50.09,2.21
18.55,27.06,4.17
25.08,42.28,2.45
22.65,36.33,22.64
23.17,34.4,3.86
22.13,33.09,4.63
14.37,21.41,6.3
22.83,38.09,3.17
22.33,37.89,7.94
18.84,31,7.5
15.21,17.59,2.9
12.43,13.6,5.54
22.75,37.49,3.4
20.08,31.04,1.87
21.26,34.58,4.38
22.41,35.79,2.35
28.59,49.57,1.54
24.24,35.82,5.6
19.44,28.71,2.41
22.15,37.12,3.28
14.56,21.32,6.09
19.37,29.02,2.24
15,19.6,1.76
24.04,40.43,3.26
17,21.86,9.91
16.81,21.16,2.75
30.07,49.29,2.41
22.65,37.11,10.69
