price,duration,wait_time
19.04,29.19,3.28
16.91,23.76,2.83
13.87,13.95,2.31
12.85,19.47,7.27
19.86,31.18,5.14
27.56,47.41,5.9
23.17,37.51,4.04
18.01,26.79,11.82
17.01,22.79,4.53
11.51,13.35,3.12
14.22,18.98,4.45
27.82,51.35,2.72
21.65,35.29,6.8
25.84,42.54,2.01
19.22,25.07,2.37
17.92,20.78,4.96
15.26,20.62,1.8
21,36.14,1.9
31.88,52.8,5.42
25.78,44.2,13.63
13.25,13.74,8.06
22.6,38.34,2.13
17.35,27.49,11.06
22.64,37.12,2.15
22.31,38.23,6.4
26.22,43.81,11.32
26.41,43.18,3.8
12.36,13.8,2.59
23.33,39.7,1.64
14.69,16.98,4.48
17.29,24.09,13.64
8.93,7.47,2.78
18.21,29.19,2.07
15.29,21.11,1.51
18.58,30.27,4.41
16.18,27.7,4.62
12.96,14.27,2.7
12.83,16.56,1.68
29.25,47.91,3.72
20.42,33.98,7.56
21.82,36.16,2.48
23.44,38,5.76
20.08,31.26,5.99
23.55,41.02,1.71
23.44,34.73,4.4
17.22,26.39,2.69
25.69,44.74,2.06
15.24,18.51,3.18
20.61,31.41,5.39
23.78,39.7,3.36
22.53,38.59,2.83
20.61,33.69,9.2
12.17,13.15,3.42
18.21,25.54,5.25
25.64,43.86,2.04
20.1,31.85,9.32
20.42,28.73,4.61
22.91,34.65,1.66
17.16,28.81,5.86
15.96,21.04,1.96
27.12,45.43,8.31
12.36,15.26,2.14
23.22,40.48,9.14
16.63,20.91,8.69
12.49,9.85,6.71
11.61,15.35,6.87
22.25,33.97,6.76
12.92,15.77,2.7
16.5,26.5,5.14
16.45,28.35,3.39
23.47,42.77,2.83
19.45,29.84,4.15
20.68,32.15,4.33
19.7,29.49,6.83
19.85,25.48,4.6
12.77,15.18,3.16
23.03,37.48,2.2
19.52,30.57,9.1
25.45,43.05,8.87
21.87,35.46,5.77
14.72,21.96,2.42
19.44,31.57,2.32
29.29,48.88,8.43
14.74,22.68,5.37
24.57,38.67,3.01
16.61,22.58,1.99
23.07,32.78,3.48
18.84,30.06,1.7
21.34,31.95,9.2
26.75,45.75,2.4
18.88,29,13.63
13.22,13.13,3.72
14.2,21.98,8.68
21.67,33.06,10.03
14.07,14.64,2.39
14.9,19.73,7.75
25.58,44.78,5.48
22.6,35.89,1.96
12.53,17.51,1.77
27.25,44.32,9.61
