price,duration,wait_time
17.28,24.93,2.94
21.1,32.69,4.25
18.16,28.72,2.94
17.05,26.47,2.5
12.81,15.71,1.7
23.72,40.62,3.46
12.96,16.89,6.68
17.31,26.51,7.99
22.06,37.83,7
19.83,29.63,2.44
16.62,25.07,8.24
20.76,34.32,6.37
18.8,27.31,2.96
15.77,24.56,2.25
19.52,29.05,3.66
19.76,30.57,3.05
15.9,22.41,6.16
12.54,14.82,3.55
28.19,47.67,10.32
19.01,30.1,1.82
14.28,21.82,1.62
22.22,36.06,14.08
19.15,31.42,7.53
23.86,41.79,1.98
25.33,42.42,2.63
24.53,39.76,5.72
24.22,40.63,5.69
8.66,6.89,17.19
15.34,16.71,4.31
22.84,40.25,3.91
22.85,36.19,3.52
20.14,33.95,2.72
29.41,53.12,3.85
14.84,23.37,1.74
17.94,22.86,3.22
14.53,19.41,2.68
21.32,33.81,2.28
19.41,32.45,3.66
19.19,31.01,2.02
19.41,30.57,2.52
17.07,27.37,2
31.27,54.64,4.43
23.48,38.02,6.47
16.38,23.28,12.31
21.7,35.01,2.7
17.76,25.13,2.73
28.67,49.96,4.36
16.22,21.33,2.85
18.76,28.28,2.48
24.02,37.52,6.11
27.83,44.43,6.69
24.29,38.49,5.53
16.5,26.39,5.4
10.09,10.95,3
21.25,35.64,1.65
18.37,29.12,2.08
23.69,40.61,2.76
18.59,31.54,6.44
19.81,27.53,2.79
27.38,47.92,1.8
21.76,37,2.89
31.02,58.11,2.54
13.86,19.77,4.76
11.04,13.46,2.67
18.1,25.17,2.72
23.89,39.12,1.98
21.23,35.58,1.67
15.64,20.33,6.86
20.55,31.29,1.63
23.67,41.03,4.22
17.18,20.99,2.28
24.4,40.73,8.82
14.99,21.76,2.56
20.3,32.72,2.58
17.34,25.02,5.1
18.32,28.37,4.73
25.22,38.71,3.22
15.33,19.48,4.04
22.28,30.61,7.67
20.97,31.45,8.57
17.8,27.32,2.94
13.06,14.53,2.27
10.53,11.74,1.91
20.78,33.14,5.24
25.68,42.96,19.51
15.97,22.5,11.96
20.58,34.14,1.84
14.13,18.79,3.78
18.8,28.15,3.65
18.05,28.67,2.08
14.48,21.98,1.55
24.24,39.39,2.33
25.65,42.77,6.49
23.7,40.52,4.71
22.12,35.64,1.86
17.58,25.86,4.92
11.49,18.38,1.88
15.37,21.18,3.2
16.23,26.5,1.65
16.29,20.88,4.76
