price,duration,wait_time
20.06,29.83,2.85
14.73,20.79,9.83
18.64,27.12,10.9
14.89,20.56,6.26
24.13,38.57,4.84
14.86,20.27,3.43
19.64,32.38,1.7
18.07,27.3,8.49
17.43,28.65,1.9
26.88,47.53,4.45
8.75,4.54,3.65
19.25,28.91,8.04
22.98,37.59,9.57
20.2,30.17,4.92
16.29,23.61,2.05
26.5,43.38,5.63
22.03,34.61,8.33
21.97,30.42,3.98
17.28,21.76,1.57
20.47,30.96,6.28
21.96,33.78,1.92
25.43,46.55,2.89
26.56,45.78,2.71
22.57,37.76,1.65
19.53,26.69,5.77
24.18,37.3,1.64
25.33,40.23,7.86
26.14,42.35,1.79
26.03,41.66,1.58
15.86,21.8,5.15
10.3,10.41,7.78
23.06,34.69,2.53
16.86,20.97,2.64
11.26,14.83,2.31
20.76,31.95,2.71
27.18,43.37,2.71
14.08,19.03,5.51
10.75,7.07,1.9
23.14,36.5,1.71
20.42,31.14,2.48
22.48,36.13,6.44
15.75,21.33,4.23
15.59,22.28,7.44
25.54,43.7,5.63
22.57,40.16,2.48
16.18,25.26,2.81
16.66,20.23,1.89
19.3,29.99,6.17
20.09,30.99,7.59
19.2,31.27,6.92
13.57,15.89,1.87
19,28.88,2.42
19.71,27.13,1.76
22.13,40.52,2.49
18.16,31.2,1.61
25.03,43.31,5.96
20.32,32.68,2.64
8.62,7.47,3.53
18.63,23.4,8.96
18.06,27.86,2.8
19.73,30.29,5.5
17.01,25.7,4.52
22.83,37.18,4.9
17.56,24.29,2.43
24.5,41.72,3.87
25.67,42.6,2.61
23.77,36.52,7.79
15.45,24.11,5.83
16.69,29.13,1.98
23.62,35.8,5.59
22.14,38.84,2.74
17.08,23.89,5.42
17.96,29.85,2.46
11.11,12.16,1.9
18.39,28.94,1.59
24.73,40.69,3.17
22.39,33.65,5.94
15.24,21.04,2.03
12.22,14.49,2.46
16.87,25.04,20.16
21.89,35.71,8.68
18.81,29.47,10.64
16.35,27,2.39
21.63,34.54,2.65
23.06,35.65,3.31
19.3,29.44,7.33
18.3,29.89,2.4
17.01,27.91,4.16
14.79,23.15,3.57
23.77,38.78,3.98
13.63,15.47,3.3
17.6,30.75,3.55
18.92,26.15,7.47
27.07,49.79,2.18
23.89,40.07,9.14
18.9,33.18,3.57
16.98,24.51,3.35
15.65,21.63,1.62
17.32,21.98,2.81
18.84,23.83,5.75
