price,duration,wait_time
21.69,33.33,3.73
28.59,49.57,1.54
16.15,26.44,5.24
19.47,31.18,3.39
11.25,15.15,1.72
15.73,21.32,2.01
19.43,27.2,3.28
17.74,29.31,3.13
20.54,29.27,10.85
15.13,25.56,6.71
20.65,34.52,9.04
9.49,8.87,2.4
23.13,37.33,2.11
15.99,24.49,3.05
14.68,17.98,2.52
16.71,25.47,1.81
14.37,21.76,2.16
16.26,26.17,2.76
27.83,50.44,1.84
19.26,29.93,6.03
29.19,47.86,4.89
18.22,30.14,1.88
22.56,34.74,1.55
16.9,22,2.74
8.1,9.92,5.09
18.04,26.02,1.94
22.34,32.98,2.39
25.91,45.47,6.4
17.24,26.81,3.36
22.11,38.3,1.86
22.68,36.2,1.65
19.04,27.21,5.38
18.75,26.53,4.94
16.29,23.45,9.74
20.47,29.48,3.65
12.34,13.41,1.61
14.15,19.11,1.54
12.29,14,1.77
14.34,18.56,3.66
20.11,31.74,6.34
24.46,37.87,5.01
15.67,22.77,2.11
15.09,18.8,2.15
19.79,31,2.26
21.63,35.97,4.57
23.83,42.12,5.48
26.76,42.78,3.3
22.95,37.21,2.06
25.68,45.81,2.75
19.68,29.56,3.19
14.73,21.43,2.65
16.91,26.08,2.06
26.04,41.57,5.27
22.17,31.64,3.15
11.11,14.23,1.96
17.87,25.03,7
20.34,36.16,3.63
26.89,43.28,2.14
16.74,22.29,2.01
23.6,35.13,2.67
16.62,24.54,7.77
17.15,23.93,6.88
20.93,30.58,2.96
25.52,40.57,3.79
27.05,51.17,2.53
22.97,39.13,5.75
12.12,14.97,3.14
22.12,38.48,5.16
15.92,20.71,1.54
26.81,43.65,11.5
9.67,8.66,8.22
27.79,49.53,4.39
19.97,33.37,2.09
18.05,29.15,1.52
7.75,4.83,6.93
15.82,24.94,5.66
16.28,25.57,2.68
12.33,10.41,1.85
15.73,20.11,4.54
20.44,34.07,4.06
15.6,22.2,3.54
25.42,42.94,1.96
21.21,31.9,1.84
17.07,27.9,3.39
27.34,53.44,7.39
15.11,25.74,6.98
14.2,18.59,10.28
15.71,21.16,4.19
25.45,42.75,4.03
19.76,30.05,5.03
21.49,30.39,2.24
25.65,49.37,5.19
28.61,48.58,1.56
16.1,22.88,9
19.49,30.47,4.97
21.62,36.03,9.94
15.35,19.48,6.74
17.11,25.61,3.13
17.61,24.03,1.99
16.19,26.14,1.76
