price,duration,wait_time
18.31,27.23,11.97
14.73,20.31,1.55
18.17,26.45,5.98
8.82,10.17,1.53
16.43,23.77,4.99
15.35,21.99,7.15
29.34,50.42,2.6
7.64,8.03,1.75
15.12,18.98,2.55
15.76,19.46,9.78
21.15,30.64,1.73
8.85,8.8,8.75
21.36,37.65,1.99
16.72,25.38,1.52
21.49,31.35,2.11
28.84,51.3,6.72
22.32,33.61,1.61
13.99,19,2
17.37,29.15,1.58
15.64,22.7,2.54
10.06,10.78,1.92
19.89,28.42,2.59
25.77,43.41,5.03
25.3,44.88,2.67
21.98,33.54,5.06
21.52,32.9,1.61
13.3,19.74,5.84
27.68,49.45,4.78
20.14,29.21,5.94
23.84,43.49,1.6
21.84,34.42,9.96
21.62,30.74,1.5
19.79,30.01,6.01
9.66,10.17,3.23
15.32,21.71,4.44
17.58,25.18,1.66
15.7,22.21,1.63
17.36,24.31,6.37
19.64,30.3,18.58
16.74,25.33,8.12
22.86,36.49,2.68
25.56,40.34,11.65
25.63,46.93,4.16
24.41,44.52,9.18
17,25.92,4.59
16.64,23.85,6.02
12.6,14.48,2.13
15.34,21.47,5.95
20.09,29.25,4.32
20.47,29.48,3.65
14.35,21.34,1.68
23.71,37.01,5.16
18.56,27.88,8.32
18.54,25.87,3.53
25.87,47.42,2.54
18.84,26.4,6.1
16.26,26.96,2.23
19.84,31.18,3.44
18.39,28.64,2.97
20.85,32.11,2.01
17.84,27.31,2.24
24.16,39.69,3.55
12,15.19,3.62
24.97,40.37,1.7
12.79,15.1,1.7
21.89,38.42,4.77
17.02,25.59,8.41
20.81,34,5.94
25.19,43.25,7.64
21.07,38.33,2.33
23.05,39.31,2.54
18.4,24.51,12.9
20.05,34.14,5.06
19.75,25.35,2.94
14.8,16.6,1.91
19.18,30.14,3.16
19.31,28.27,3.11
18.24,28.09,7.95
19.6,31.5,2.6
24.31,40.43,2.67
18,26.69,4.28
18.52,28.79,10
15.96,24.21,3.58
23.15,37.74,3.21
22.22,33.44,8.99
16.64,27.34,3.57
11.36,13.28,4.36
23.2,32.7,3.47
13,15.87,4.52
20.22,28.77,5.05
24.88,42.23,15.49
22.47,34.83,5.66
18.7,22.27,5.29
25.87,41.45,2.09
22.18,35.91,2.98
13.87,17.07,1.81
18.88,31.51,6.16
17.61,25.38,4.49
22.24,34.87,3.64
12.37,13.17,11.8
