price,duration,wait_time
25.21,42,2.25
20.83,28.72,1.94
12.95,17.39,2
10.75,14.1,5.09
18.23,27.76,6.54
18.13,27.64,2.35
19.01,31.04,3.86
11.78,13.44,1.96
18.61,25.91,12.72
20.12,28.73,6.2
22.63,37.85,3.52
18.68,29.25,2.06
17.12,24.72,2.03
16.1,21.81,1.86
23.38,35.83,2.56
20.71,36.63,2.92
14.61,20.79,5.4
23.38,38.32,6.3
20.56,35.78,1.96
18.97,29.47,8.32
20.93,35.75,2.95
24.77,42.25,1.71
24.37,38,3.98
24.41,38.83,2.42
20.49,30.28,1.57
11.61,13.68,2.86
26.04,45.86,2.47
26.92,46.17,3.25
21.15,34.41,9.84
16.69,22.4,7.65
21.23,33.57,1.53
15.94,24.14,2.31
17.15,24.32,2.02
14.05,16.72,2.1
23.34,39.68,3.45
11.29,11.54,7.96
20.71,33.73,1.86
20.21,30.42,2.67
18.26,33.09,5.71
20.04,26.62,2.61
13.13,18.02,2.4
22.6,35.08,1.51
14.92,19.1,1.54
21,33.28,2
15.04,17.17,2.15
22.52,36.91,1.85
12.96,19.91,3.92
17.67,25.17,3.35
22.64,41.61,3.96
16.13,25.31,7.34
21.04,31.59,2.88
24.74,42.85,3.75
16.86,25.26,2.04
24.72,42.72,2.05
27.84,48,6.46
20.49,33.96,4.87
7.28,4.97,2.25
25.95,43.13,2.59
21.08,35.95,1.94
14.95,20.76,3.05
19.67,27.17,4.46
22.34,37.58,2.62
14.73,20.2,2.18
19.81,30.32,4.93
19.98,28.18,4.47
25.51,43.71,7.64
19.38,30.51,4.79
19.86,27.33,2.23
24.09,40.15,1.71
16.2,24.64,2.03
18.04,23.49,5.3
22.18,34.71,3.02
17.7,27.16,7.75
17.95,27.34,3.33
18.09,28.67,2.78
27.7,49.05,3.61
23.52,38.92,1.55
32.41,57.55,6.04
18.31,25.96,3.06
19.82,29.69,6.49
22.87,36.3,5.28
14.96,21.26,4.67
17.19,24.41,3.22
10.44,9.55,2.85
17.9,25.33,14.58
17.75,30.47,7.47
18.07,29.54,19.69
16.88,21.94,7.09
19.95,32.98,5.88
19.43,28.95,3.55
21.2,32.37,2.64
22.18,35.68,7.12
22.99,36.64,7.73
18.16,26.31,1.97
14.31,18.3,2.85
25.51,39.02,8.27
30.37,51.97,2.71
15.1,19.38,11.66
32.21,58.54,2.76
17,25.98,2.3
