price,duration,wait_time
18.44,28.8,2.37
16.14,22.64,1.65
16.53,21.79,13.02
17.24,28.17,2.58
17.78,27.33,5.64
24.99,41.47,1.9
22.11,40.6,1.86
16.07,24.36,12.56
18.57,24.7,4.63
17.73,27.28,5.28
23.38,38.25,7.48
18.3,25.19,2.43
19.21,25.9,4.47
20.05,32.6,2.61
20.37,34.08,6.31
22.97,35.09,2.21
17.25,28.75,12.3
17.5,25.86,3.78
19.08,27.74,2.61
9.18,6.4,2.58
15.49,20,1.95
20.78,35.82,10.48
19.44,27.66,5.59
24.32,37.62,5.24
27.68,51.45,4.64
21.11,36.73,1.93
16.93,26.18,2.99
29.41,51.38,2.31
30.14,52.57,4.59
13.88,18.92,4.22
22.75,38.89,4.39
13.74,17.27,8.42
14.85,19.62,2.83
25.99,42.21,5.13
10.54,14.39,2.71
24.25,40.33,3.27
12.38,14.63,5.08
15.65,24.27,3.93
12.67,16.37,3.83
24.49,38.64,8.29
17.71,21.88,4.45
23.69,36.91,16.2
24.27,38.23,2.04
20.98,27.75,2.28
16.12,24.04,2.21
16.47,20.76,2.24
20.17,27.3,2.29
23.61,37.58,15.63
16.03,20.63,3.4
19.61,31.49,2.77
26.12,45.95,2.89
21.77,35.07,3.26
8.71,7.68,3.94
10.28,9.76,2.39
7.25,6.03,3.86
16.28,25.57,2.68
17.74,29.31,3.13
15.21,24.12,3.92
22.67,39.45,2.56
22.69,36.92,2.24
32.31,53.24,5.66
11.49,15.87,5.69
10.27,9.22,4.3
11.61,15.4,4.05
19.53,31.03,3.71
26.84,45.38,1.62
25.29,37.79,5.17
25.54,42.39,5.44
27.26,47.38,7.67
24.77,39,5.22
20.16,33.19,2.22
15.12,17.88,3.72
21.94,32.54,2.47
10.06,9.17,5.25
29.92,50.04,16.73
24.1,42.69,1.51
19.14,30.66,5.31
21.95,40.66,6.35
26.68,44.42,1.57
17.8,25.73,2.24
16.42,24.42,9.42
14.18,17.33,6.11
13.49,17.84,4.74
22.14,38.06,2.87
18.5,30.12,2.35
17.93,26.02,2.94
23.14,32.79,5.38
20.65,31.5,1.62
17.96,23.78,6.99
18.83,28.56,2.45
18.44,31.48,4
14.75,18.96,6.33
19.28,30.89,8.78
18.68,23.63,2.54
17.39,24.72,2.65
16.17,21.95,10.7
22.34,31.11,2.11
11.22,12.23,8.94
11.04,10.93,2.27
25.62,43.34,3.34
