price,duration,wait_time
15.34,21.6,7.48
15.66,21.85,9.77
18.64,25.86,3.33
19.85,32.84,4.75
11.99,16.89,2.53
18.62,30.26,2.51
19.16,26.68,1.84
19.98,33.8,2.86
20.89,29.3,6.92
25.41,42.84,1.59
24.48,39.25,5.9
17.25,23.43,4.96
18.23,27.56,5.68
24.8,44.99,2.35
31.92,53.21,4.58
18.51,28.06,2.42
17.15,23.93,6.88
18.95,33.92,4.92
23.4,40.11,1.51
25.2,41.63,1.85
14.33,20.13,4.45
18.09,26.54,1.62
18.69,26.73,3.77
21.8,31.51,3.77
18.16,27.16,3.99
17.05,27.65,5.12
18.59,23.44,5.63
21.73,36.05,5.41
21.21,35.67,2.83
31.13,53.89,4.92
18.95,27.26,2.61
23.94,39.26,2.09
21.45,35.09,1.89
18.98,28.59,2.09
20.65,35.27,2.55
17.83,26.81,2.44
10.63,10.27,1.75
16.2,24.31,9.3
17.49,26.13,7.62
25.4,42.62,2.5
19.26,29.61,3.4
25.46,40.36,2.9
19.97,29.56,3.03
20.35,33.45,2.07
21.25,35.64,1.65
14.48,20.75,3.81
18.32,25.78,1.64
15.98,23.46,1.67
27.68,43.78,7.72
14.56,20.46,1.73
21.68,31.98,2.24
15.22,21.64,4.76
27.92,49.31,3.11
14.64,22.37,4.43
23.6,42.01,1.53
23.27,35.74,2.85
12.7,12.97,4.33
25.62,40.82,5.15
13.92,13.64,2.5
18.11,24.85,1.86
13.12,15.13,1.93
13.27,14.92,12.31
16.19,19.15,8.01
16.98,21.75,5.35
29.59,46.21,3.04
17.72,26.58,8.61
31.68,50.78,1.89
12.21,16.41,2.25
14.4,21.7,2.37
21.51,32.04,1.55
22.73,38.25,2.29
21.92,37.05,2
21.55,36.62,1.73
30.78,55.63,2.4
18.96,28.93,1.59
20.59,34.89,2.12
18.49,26.2,2.55
13.2,15.92,5.63
26.74,42.92,3.34
14.88,16.1,5.04
19.98,30.96,2.66
16.44,23.96,1.98
19.73,30.93,11.17
16.74,25.29,2.5
22.06,36.33,5.4
15.26,22.91,4.57
15.33,17.69,2.23
21.2,31.01,2.18
20.87,37.06,1.58
19.81,30.54,1.74
17.31,24.33,11.54
14.01,19,8.69
20.28,30.36,4.08
19.03,24.84,7.21
19.85,29.83,1.96
21.6,31.45,5.06
20.86,34.92,2.24
17.25,24.9,2.65
19.78,28.97,12.94
21.51,34.53,2.72
