price,duration,wait_time
19.43,33.53,3.28
17.94,29.6,4.86
22.96,37.59,5.8
16.32,22.29,1.55
16.88,27.72,2.41
20.74,33.49,7.21
25.23,43.23,1.77
6.11,4.95,3.3
17.29,24.27,3.3
17.03,25.75,5.53
9.36,8.53,1.78
13.39,18.93,6.43
21.91,38.21,8.53
20.29,26.38,5.8
16.63,25.93,2.05
16.65,22.72,6.28
19.11,31.95,7.74
26.15,44.84,2.7
22.46,36.42,8.41
21.9,38.1,1.57
22.74,36.82,1.69
15.21,19.51,4.07
13.42,19.64,3.11
25.12,39.57,2.53
17.12,26.13,11.58
11.77,14.98,2.18
23.33,41.46,4.44
26.87,45.85,4.97
16.27,28.78,1.67
26.2,49.49,4.12
22.46,35.47,7.77
27.35,47.27,5.96
18.43,29.53,2.42
28.2,49.23,4.27
20.5,31.86,4.25
12.06,15.67,1.95
22.25,31.34,4.03
24.05,36.93,3.16
19.56,30.73,4.16
21.45,36.2,7.66
23.91,38.16,10.66
20.63,30.53,4.36
25.13,43.23,4.66
23.78,37.62,2.34
14.57,17.84,8.04
14.69,21.29,5.05
17.84,26.31,7.08
24.89,43.11,1.52
19.33,31.86,3.22
9.16,9.51,1.65
24.35,42.32,3.55
14.26,19.18,5.98
28.79,45.76,5.71
21.43,30.49,8.39
13.22,17.99,1.7
14.8,20.08,6.25
16.33,18.57,4.15
15.01,20.79,2.57
15.99,24.7,4.36
19.98,31.55,2.54
26.8,45.1,13.17
28.18,48.81,12.48
18.49,27.11,4.37
22.18,36.39,6.01
24.63,40.66,2.63
20.67,30.77,3.41
19.26,31.14,6.06
24.44,40.91,4.66
12.46,15.54,1.57
11.67,15.56,1.89
23.97,36.65,2.36
13.74,18.69,1.62
17.14,24.67,1.8
19.67,34.07,3.75
26.68,46.94,4.52
17.08,24.92,5.31
16.93,26.86,1.59
10.48,11.77,7.4
21.77,35,3.71
20.53,35.06,2.64
25.16,42.28,5.05
15.96,18.99,2.15
21.85,33.76,2.01
23.15,37.47,12.17
16.95,25.22,1.8
27.69,46.77,2.73
10.69,13.48,14.78
22.55,36.41,10.44
18.91,26.23,3.19
26.41,46.88,2.33
13,17.05,3.19
15.71,21.68,3.11
13.3,14.63,1.51
23.37,35.51,5.85
22.52,37.83,5.14
20.78,34.72,1.72
21.96,36.57,2.97
18.8,26.72,4.11
24.81,40.83,5.94
19.18,32.8,4.2
