price,duration,wait_time
20.61,31.95,2.09
19.67,33.9,1.54
26.62,45.26,4.78
22.56,37.54,5.06
14.26,23.14,5.96
14.66,17.06,1.84
19.5,29.35,11.42
24.88,44.66,3.2
29.77,52.79,5.11
22.1,32.9,2.12
15.11,25.74,6.98
12.61,17.69,2.94
15.43,23.83,7.52
14.68,20.87,2.92
27.33,49.63,2.93
19.17,27.96,2.64
15.99,20.91,1.57
19.64,28.73,4.21
21.18,36.43,1.73
15.85,23.21,3.87
7.44,4.03,1.57
23.61,37.98,2.24
24.48,39.4,4.03
22.27,34.41,20.84
30.61,53.74,3.27
22.99,36.13,6.75
25.64,44.16,4.28
25.04,44.59,3.66
20.81,32.96,3.43
30.95,55.21,3.43
23.11,33.61,2.28
20.3,33.8,3.75
24.42,42.35,1.86
21.07,34.1,2.24
24.66,44.49,5.69
26.48,45.31,2.43
12.38,12.95,1.64
20.16,33.3,3.86
16.67,25.31,9.76
27.34,49.92,5.24
18.58,31.52,6.71
19.2,28.62,5.82
13.74,18.69,1.62
29.71,49.75,3.15
22.35,36.58,3.71
19.21,29.32,7.93
24.32,36.64,4.51
22.45,39.93,2.7
8.96,10.03,8.69
17.03,28.84,3.83
21.42,34.75,11.05
14.49,21.85,1.65
10.69,10.78,1.63
11.21,11.62,1.55
10.05,9.75,4.58
19.43,28.11,5.56
20.96,31.21,11.97
19.49,29.98,4.12
20.61,31.67,5.37
12.86,13.58,2.85
13.55,19.59,1.57
19.4,27.55,4.42
19.69,29.01,6.38
23.29,39.33,2.58
20.37,28.38,4.24
31,50.85,1.84
18.79,30.91,2.15
17.29,24.07,2.52
28.67,49.64,3.87
27.21,44.81,3.15
17.25,24.36,2.59
22.59,35.18,6.83
22.66,37.43,1.87
22.33,38.66,20.37
16.04,21.4,4.51
15.26,24.36,5.28
21.81,33.39,2.14
15.48,17.91,3.78
26.44,44.65,2.83
30.27,54.18,1.62
22.1,37.95,1.64
18.52,26.05,6.74
28.91,49.2,2.16
16.74,26.83,11.98
20.05,32.37,4.8
13.1,15.19,2.74
21.77,36.03,2.67
18.21,24.41,9.25
16.06,25.35,5.13
23.74,36.5,3.23
16.82,23.5,2.36
16.98,27.07,3.61
16.55,26.01,2.05
22.4,37.01,5.54
16.76,21.23,1.62
18.35,24.94,3.23
20.42,33.98,9.1
12.67,16.41,2.48
11.13,9.17,3.95
17.48,25.38,4.48
