price,duration,wait_time
18.89,26.3,7.29
19.65,27.34,1.61
19.5,31.45,5.73
18.47,28.91,3.56
24.27,41.06,12.44
22.46,34.34,2.37
11.24,8.85,1.67
23.2,41.25,2.1
26.79,50.38,3.36
22.78,37.8,3.94
24.84,41.65,2.7
13.02,18.32,1.56
20.59,31.88,4.62
21.02,31.66,12.33
20.58,30.19,2.13
29.88,52.71,2.32
19.6,29.11,4.89
16.03,20.88,4.26
18.88,28.39,1.71
9.4,3.87,6.42
11.5,13.65,4.13
11.45,9.98,10.43
23.65,35.19,2.91
18.55,26.3,4.95
13.92,18.72,3.73
31.51,53.06,4.5
24.58,40.58,2.66
16.6,24.63,7.62
15.72,21.59,2.67
18.16,30.29,6.62
19.74,34.27,5.68
23,38.1,3.07
20.27,29.45,2.02
17.1,30.16,3.02
19.82,34.7,6.17
14.76,19.64,4.56
19.72,32.27,2.49
26.17,44.09,1.65
15.77,23.29,14.22
23.61,35.37,11.69
20.56,33.19,2.15
18.16,26.17,8.67
9.47,8.83,3.08
16.09,20.8,5.8
14.94,17.32,5.02
11.34,13.72,4.82
19.69,33.79,2.77
22.66,36.31,2.93
16.84,23.66,9.96
15.24,20.05,5.93
18.53,27.9,4.67
29.5,54.32,2.18
17.96,30.21,2.44
16.33,23.71,4.14
17.44,25.27,3.14
26.35,43.56,3.85
15.81,22.12,9.69
18.91,29.18,1.55
19.8,30.52,5.84
23.3,39.33,2.13
18.75,26.24,3.2
19.92,32.66,7.21
23.14,36.97,5.35
24.03,39.06,2.01
21.93,34.93,6.28
20.56,33.86,2.55
20.04,31.71,13.43
18.64,25.33,4.92
22.21,35.29,2.86
16.12,23.67,6.62
21.21,33.75,2.64
27.29,44.74,4.35
24.14,40.06,3.14
14.57,20.03,2.32
21.15,37.82,7.7
17.34,22.94,5.27
14.21,18.54,5.89
17.42,26.63,6.87
11.5,11.26,5.81
12.45,14.53,2.45
13.51,16.22,2.19
22.66,36.97,1.79
26.41,47.7,2.43
19.71,31.2,1.58
22.46,33.97,2.76
13.92,18.11,4.96
15.98,24.97,5.81
15.73,24.1,2.06
31.1,53.5,16.88
18.71,26.99,9.42
12.97,14.96,1.9
17.53,21.87,2.74
19.62,30.27,3.56
16.08,24.12,3.15
21.24,33.53,5.52
12.16,17.12,6.59
21.85,36.08,7.97
22.19,33.64,3.79
17.64,25.66,2.87
15.47,22.64,5.32
