price,duration,wait_time
17.35,27.17,3.2
21.59,37.99,7.8
21.44,34.08,1.75
27,49.72,8.92
27.18,42.18,7.49
15.39,19.52,5.94
22.62,34.86,4.36
18.13,24.49,3.85
26.01,45.97,2.46
12.8,19.06,1.82
20.07,29.42,3.09
19.1,29.63,5.12
21.6,33,3.16
10.32,10.09,2.62
17.02,22.33,3.61
22.3,31.46,6.14
19.49,32.78,7.06
15.1,20.54,3.23
24.42,38.83,2.51
23.78,39.7,3.36
17.56,24.49,1.74
25.86,46.33,2.47
20.92,33.73,4.91
21.44,35.53,3
17.18,28.26,5.67
21.97,35.58,1.8
25.14,44.14,4.58
17.12,23.52,13.24
17.46,25.7,4.86
21.55,33.05,1.81
24.14,39.62,3.18
27.58,45.08,2.82
27.2,47.96,6.36
20.54,34.29,3.11
16.78,23.41,2.41
10.93,12.98,6.73
23.6,42.64,2.51
16.37,23.2,2.7
12.81,13.71,3.64
30.27,54.18,1.62
14.38,17.62,4.92
20.5,34.75,2.37
14.94,20.5,6.78
24.91,39.57,5.98
22.68,35.72,5.85
14.2,17.74,4.78
24.21,37.93,9.02
19.95,32.13,2.45
22.4,33.6,2.21
15.83,22.35,4.98
18.71,34.83,3.37
26.36,39.36,10.78
24.54,41.13,4.2
21.43,32.01,1.58
21.46,36.1,1.76
24.71,41,1.7
15.52,19.72,10.26
22.73,34.77,1.81
20.33,34.54,4.94
25.27,39.98,4.14
19.17,32.01,5.95
24.6,41.47,4.5
20.71,35.07,3.84
15.36,19.04,2.72
14.07,17.59,6.5
22.83,38.98,3.9
16.61,24.99,1.57
19.22,31.49,8.36
23.12,39.77,1.98
20.9,26.79,2.54
21.58,32.66,9.22
11.77,14.92,2.01
20.31,34.96,2.75
15.72,19.11,2.59
26.92,48.7,1.62
18.86,28.54,8.15
19.43,27.59,3.14
21.37,33.21,4.38
22.34,37.33,2.43
24.67,43.21,7.93
15.39,22.79,2.2
17.65,24.91,6.65
22.79,35.61,1.69
25.03,38.7,1.63
20.44,38.11,2.41
16.86,27.68,2.15
16.01,20.02,3.92
15.78,23.33,2.52
13.92,17.77,6.31
16.23,21.46,2.1
19.08,27.95,1.64
17.77,27.39,6.74
22.3,33.94,7.26
28.05,42.75,7.78
14.59,18.45,13.23
19.35,28.7,1.54
19.27,29.56,4.09
18.58,28.68,10.61
17.04,24.76,1.58
13.66,17.37,1.57
