price,duration,wait_time
21.51,34.96,1.65
29.12,51.63,2.34
14.37,18.19,7.72
14.78,20.79,2.59
22.07,33.19,2.57
19.29,28.98,3.61
17.92,24.88,2.33
17.76,27.71,7.88
13.15,16.73,5.57
21.05,30.68,1.7
15.21,22.27,2.41
19.55,29.94,6.45
23.64,40.6,5.56
15.73,24.02,13.38
22.73,36.13,3.24
15.2,22.04,5.76
26.39,45.45,4.03
22.49,35.62,5.09
19.47,26.45,3.52
21.19,31.05,3.38
20.09,31.33,2.28
20.62,32.05,1.77
19.81,32.35,1.88
17.99,26,2.27
27.12,42.58,10.03
20.17,27.3,2.29
26.23,43.47,6.5
15.01,18.08,11.58
15.62,20.49,1.96
16.54,22.58,4.69
14.07,19.11,6.29
21.04,32.61,1.76
14.12,17.31,3.27
32.36,56.99,4.99
11.78,13.27,5.1
13.54,17.85,2.6
11.9,11.73,8.69
18.01,27.54,2.98
19.98,32.41,2.51
14.6,19.77,3.16
21.88,33.95,7.96
19.83,33.62,4.98
13.43,16.99,3.89
10.67,12.28,4.23
30.52,60.13,1.55
13.02,11.7,11.16
20.7,31.98,6.29
15.87,21.11,2.17
16.74,20.38,2.08
16.38,21.74,2.67
14.74,21.44,1.93
24.93,40.82,1.51
17.54,21.35,2.73
21.87,33.81,2.93
15.84,25.1,2.96
12.91,16.85,5.46
14.66,21.18,8.37
19.11,29.76,4.94
27.19,44.25,5.46
15.66,21.15,1.56
20.12,29.68,6.76
20.09,31.27,8.47
25.67,42.65,2.8
16.76,25.89,6.39
17.03,25.61,2.05
18.49,29.8,1.62
15.14,16.26,2.39
14.68,19.14,6.87
24.98,40.07,1.66
17.49,25.29,14.28
18.77,30.04,2.9
16.79,23.06,2.75
23.54,39.46,3.04
18.39,28.53,2.97
19.34,28.55,7.67
29.75,50.5,13.42
24.75,43.93,4.09
13.33,16.76,6.69
17.89,28.53,2.72
18.09,27.04,1.96
13.67,18.82,4.01
16.59,24.35,3.92
23.39,32.46,3.24
16.11,22.94,7.58
22.18,34.54,3.22
16.65,23.49,4.6
20.96,31.87,2.51
16.61,28.84,6
24.3,42.23,2.64
14.87,21.77,5.64
19.21,33.91,2.63
23.04,38.02,10.56
17.2,25.43,3.56
30.24,54.18,2.18
19.61,31.46,1.56
18.71,24.7,9.99
20.12,30.91,4.41
17.53,27.42,5.78
26.3,43.39,2.78
21.77,37.62,1.81
