price,duration,wait_time
27.33,45.69,1.65
25.77,40.87,4.77
16.98,22.04,9.56
16.92,25.31,2.31
10.95,10.86,3.61
12.34,12.99,2.07
25.06,42.19,2.94
15.54,22.74,5.9
26.59,43.52,1.78
24.06,38.68,3.72
25.96,40.57,3.3
22.03,36.66,4.15
20.84,32.8,2.58
13.63,16.17,1.85
25.09,45.32,2.05
10.84,9.11,1.89
20.39,31.12,5.46
13.67,19.79,1.5
11.78,15.91,3.85
14.89,20.61,7.41
21.46,35.75,2.97
24.24,36.53,5.18
22.86,40.98,2.58
19.36,28.32,5.96
11.83,13.04,1.91
17.36,24.06,3.07
24.63,40.57,6.13
34.92,63.05,8.88
18.66,28.33,1.77
28.3,50.27,1.75
21.31,36.7,5.47
25.55,42.46,2.01
19.75,31.29,3.3
10.58,11.08,2.38
25.76,41.65,3.81
20.81,33.57,5.78
17.71,23.32,6.31
23.52,37.1,3.99
17.18,20.78,4.61
22.9,36.43,3.2
21.76,35.76,1.89
21.58,34.98,2.65
10.46,9.91,4.79
22.44,34.96,5.09
20.06,29.34,3.12
24.14,41.58,1.81
23.04,39.28,3.25
21.05,32.25,3.09
17.19,24.85,2.79
16.91,27.37,4.35
21.8,36.19,8.04
26.78,43.27,2.36
9.19,6.35,10.7
24.38,40.88,2.52
22.36,34.13,2.94
22.23,36.3,5.85
26.93,45.56,9.2
20.36,31.75,5.13
23.07,38.38,2.66
19.86,28.13,3.38
20.84,34.38,3.4
22.31,36.28,8.39
21.49,36.94,8.55
25.51,39.34,6.1
11.84,15.06,4.54
23.31,37.58,3.42
9.06,8.92,1.76
20.66,34.83,1.54
16.96,21.11,2.52
13.31,15.33,5.73
20.57,30.16,8.74
19.82,32.94,3.27
18.89,28.76,2.98
17.68,24.3,2.07
15.46,20.2,2.23
18.39,26.41,6.19
15.28,19.37,2.01
27.16,46.27,5.68
16.66,24.05,7.52
22.54,39.62,6.8
20.3,35.26,3.8
28.83,47.98,3.62
17.18,29.85,2.71
21.93,33.45,3.93
15.26,22.26,2.19
23.21,36.51,2.06
24.35,37.29,2.29
22.23,34.04,3.49
21.66,35.07,3.77
23.65,40.66,1.62
21.14,34.1,3.57
19.58,25.17,4.74
22.75,39.56,4
22.99,38.35,6.82
26.79,46.44,2.6
19.67,32.08,1.6
11.97,11.72,4.23
16.55,26.88,1.55
15.72,23.25,2.62
20.05,31.9,1.86
