price,duration,wait_time
26.59,44.09,4.94
18.12,25.34,1.55
13.33,18.65,4.77
12.58,16.57,2.91
15.74,18.22,3.93
27.28,47.23,3.51
18.54,27.37,3.03
25.41,43.94,7.92
20.09,31.58,6.12
20.93,35.46,7.92
15.46,21.96,10.27
27.06,50.11,2.19
25.4,39.69,2.99
31.23,55.52,2.5
10.99,9.09,3.59
22.43,36.55,5.51
17.01,24.3,2.08
20.39,32.91,1.72
16.21,26.93,4.52
20.16,29.82,3.35
12.38,12.81,2.77
16.05,21.22,1.66
22.05,32.45,4.48
13.64,16.32,1.69
18.09,27.71,4.24
20.63,36.49,4.61
13.22,16.01,2.01
17.93,28.58,4.87
14.06,18.27,3.02
19.46,27.26,5.32
19.64,29.67,1.71
24.49,39.69,3.48
22.1,32.9,2.12
23.35,38.55,4.32
19.37,29.27,2.28
22.62,34.93,13.24
19.03,27.72,2.21
23.26,40.27,3.69
12.61,15.8,5.43
28.75,49.65,2.11
19.19,27.24,6.59
16.74,23.8,4.47
15.88,19.83,3.34
23.14,39.96,1.97
20.93,36.95,10.42
27.94,51.36,3.54
23.07,36.88,2.37
9.11,9.06,4.76
15.67,23.31,2.37
18.1,28.3,5.04
19.34,29.55,6.62
8.91,6.6,2.97
23.18,39.99,2.01
21.68,35.24,1.8
14.18,14.77,5.99
19.92,31.26,1.56
26.77,47.78,3.53
16.12,23.86,3.26
18.66,28,1.79
14.94,19.06,2.55
17.95,27.77,6.18
24.03,39.09,2.43
13.92,17.68,10.59
21.56,36.2,2.39
15.12,18.74,2.87
16.51,24.87,3.01
8.9,11.92,10.14
18.91,28.69,2.11
19.78,28.6,1.66
16.21,22.22,5.6
25.03,41.89,2.41
20.23,33.9,2.91
17.91,25.68,2.64
18.51,25.75,6.97
12.39,12.11,1.59
20.49,33.96,4.87
20.62,32.05,1.77
23,35.76,3.82
23.73,42.99,3.88
16.91,27.83,2.06
11.24,11.25,7.19
27.64,47.76,7.42
20.37,28.38,4.24
13.83,18.7,7.29
20.09,31.18,6.06
7.44,4.67,5.62
11.78,17.81,2.66
18.15,28.38,2.48
34.42,61.73,3.53
27.18,45.56,1.66
24.78,42.49,5.6
25.63,42.37,2.08
8.9,7.28,3.89
21.1,33.44,13.5
25.42,42.05,2.64
27.05,42.98,2.35
16.31,22.52,3.74
26.95,43.04,3.01
25.82,44.18,2.1
21.55,33.62,7.21
