price,duration,wait_time
25.5,40.83,2.65
20.29,29.27,3.92
18.04,25.45,4.82
16.54,21.14,7.54
10.91,11.01,4.13
19.91,32.47,3.77
11.01,7.79,4.43
29.66,48.08,3.97
22.35,40.29,3.59
13.86,15.94,1.61
18.22,26.36,1.68
16.29,21.91,1.82
21.42,34.02,1.61
17.43,26.04,5.92
12.9,16.87,4.72
19.12,27.03,3.06
18.56,24.84,4.85
23.08,40.33,1.91
22.09,35.17,2.71
12.93,12.96,3.82
20.59,31.13,6.05
16.22,22.53,7.2
16.05,20.83,8.27
18.36,28.22,6.98
16.85,25.54,2.56
23.76,40.85,4.32
20.98,32.27,4.91
22.22,39.36,2.42
16.72,23.93,6.13
22.62,36.09,14.37
17.85,29.2,3.19
22.45,36.47,5.01
22.21,34.19,6.2
20.61,31.56,5.53
17.49,24.7,3.78
18.49,28.78,2.3
11.16,14.23,1.62
13.28,18.2,2.89
26.29,46.74,10.73
26.35,47.59,2.17
19.04,25.36,4.57
17.12,23.57,2.36
22.88,40.5,3.93
22.68,36.2,1.65
15.75,21.23,4.52
14.79,24.24,3.48
22.5,39.13,3.9
18.28,27.45,1.64
17.21,25.05,3.76
19.57,33.26,7.38
26.39,44.77,2.33
20.53,29.81,2.95
17.37,25.82,1.93
20.07,28.09,5.62
15.14,20.25,1.51
26.3,46.93,15.36
24.92,42.77,6.02
17.96,24.81,3.32
19.42,27.21,3.75
17.08,24.58,2.57
20,33.19,5.66
21.22,33.21,4.89
16.75,27.71,11.06
17.63,29.54,2.34
18.67,29.71,3.16
23.54,39.23,6.04
22.7,35.79,7.41
13.34,15.61,2.19
20.6,31.99,3.5
22.84,37.25,2.06
21.53,38.22,5.08
23.96,38.26,2.46
19.42,26.78,3.06
23,37.9,4.16
21.88,33,3.75
18.72,26.97,3.47
23.56,41.09,1.52
19.27,30.43,5.65
19.81,28.67,2.23
12.54,15.16,4.59
12.42,16.87,5.18
15.91,18.53,2.99
10.25,10.92,5.21
24.19,41.63,2.85
21.1,28.69,2.97
15.92,23.43,2.32
15.32,24.67,2.62
17.87,28.17,6.1
13.06,17.34,3.81
14.96,21.54,1.91
24.17,42.47,2.28
15.25,22.8,2.07
17.71,23.76,1.73
20.33,29.6,1.81
22.74,38.24,3.59
17.78,25.6,6.36
13.71,18.29,6.54
17.9,26.97,5.38
23.05,39.88,2.45
20.4,31.18,1.69
