price,duration,wait_time
8.99,5.33,2.76
19.02,30.98,2.43
21.74,32.95,5.72
14.57,19.02,4.24
19,27.93,6.3
17.94,27.22,8.49
26.32,45.24,4.9
26.57,52.06,7.53
18.89,26.18,4.61
22.94,38.61,2.22
25.92,43.94,5.27
14.49,18.49,2
21.79,34.89,5.14
21.97,32.18,2.95
17.15,23.95,2
18.84,28.41,3.8
18.16,26.52,3.04
21.28,32.78,6.57
24.54,39.6,5.83
26.61,45.1,3.48
21.8,36.42,2.44
23.23,38.54,1.98
16.11,20.61,7.33
17.6,23.89,3.11
19.45,28.64,10.5
24.44,41.01,3.19
27.55,44.24,1.91
24.54,40.13,2.44
23.73,40.57,7.77
17.52,26.26,2.73
9.59,8.46,3.64
22.82,33.36,2.04
22.95,39.41,6.75
16.37,18.19,2.26
16.16,23.6,4.85
19.63,31.04,3
21.23,28.91,4.85
19.74,31.15,1.66
15.37,21.41,3.81
17.82,23.12,5.77
28.01,48.43,14.55
10.71,10.23,2.13
10.23,12.74,6.13
29.16,48.99,7.77
17.03,25.68,3.8
19.79,29.36,1.8
23.41,38.58,4.7
18.35,29.42,1.92
14.66,17.76,2.88
25.39,38.98,5.3
23.95,36.75,23.12
16.65,24.83,12.11
21.37,35.2,4.28
20.39,32.49,2.13
22.31,36.4,6.74
14.78,20.51,2.29
18.76,29,4.35
19.56,29.32,8.74
22.55,34.27,3.9
19.42,33.94,10.8
25.22,44.26,2.95
19.68,27.35,5.54
21.03,33.21,8.93
19.65,31.71,13.74
25.09,40.39,11.3
23.11,38.31,3.18
18.51,25.38,3.7
16.06,23.63,3.78
18.13,27.73,1.59
22.59,37.95,3.47
21.62,36.8,1.5
12.07,18.12,2.19
19.46,29.77,4.92
13.96,15.88,8.82
20.97,36.39,2.09
22.16,40.05,8.07
21.56,33.66,2.77
12.66,16.47,7.79
19.5,30.36,5.04
22.22,37.33,4.28
10.11,11.38,13.29
22.58,35.35,2.48
20.27,29.26,2.31
16.59,26.43,10.58
28.18,48.51,9.32
19.86,31.81,2.68
17.46,27.9,1.51
21.83,35.84,3.02
21.95,33.05,6.24
18.3,29.61,2.95
17.35,26.51,3.04
19.79,29.1,4.36
23.76,40.45,7.73
18.11,24.44,4.65
20.32,31.26,2.4
19.72,28.36,2.3
25.03,43.78,4
25.11,42.85,2.57
22.47,34.47,2.01
23.06,38.75,2.84
