price,duration,wait_time
22.43,37.05,5.12
26.32,48.67,5.36
21.42,34.52,1.9
19.02,28.82,9.48
25.63,46.67,11.21
22.94,33.7,10.36
21.87,36.64,2.28
12.51,10.82,2.56
25.46,38.29,4.87
28.84,49.66,2.94
21.2,32.22,2.41
24.62,39.96,8.51
21.96,35.92,6.7
17.87,24.37,2.24
25.63,42.61,1.54
18.75,31.67,2.06
24.1,39.75,1.72
23.11,38.1,9.39
15.75,22.06,5.93
19.41,32.45,3.66
15.71,19.25,1.75
23.02,40.73,10.72
18.57,30.39,13.01
16.6,26.26,2.79
22.04,36.67,1.67
23.4,36.43,9.07
25.15,43.85,8.41
22.28,35.46,2.23
25.2,39.66,2.16
21.44,37.91,3
24.18,39.8,3.53
20.04,30.48,1.92
7.44,6.53,3.21
18.47,25.01,7.2
22.44,38.44,8.81
18.9,26.3,2.17
14.81,20.92,4.37
16.69,22.57,3.61
20.06,26.92,4.38
25.04,44.46,6.67
26.48,47.27,4.82
20.97,32.33,3.21
24.84,41.97,2.28
23.76,38.44,5.41
12.08,13.67,1.71
27.89,47.57,1.67
18.5,27.51,4.98
17.65,23.13,3.88
29.52,52.75,1.83
24.73,41.87,3.56
10.62,10.1,4.28
20.42,31.79,7.86
25.03,42.22,3.12
7.45,4.9,5.22
12.5,15.98,2.09
7.78,8.07,2.67
14.44,18.68,7.4
23.84,40.16,8.67
19.24,30.6,1.88
25.72,43.71,3.42
11.24,11.79,3.61
21.24,38.31,10.15
14.33,15.85,3.85
17.96,28.37,5.96
14.94,22.93,3.01
17.91,28.07,4.53
13.09,17.25,2.91
12.77,18.21,2.84
22.94,38.17,6.95
15.72,20.73,3.46
19.68,30.39,4.02
21.79,35.25,1.63
22.11,38.3,1.86
14.69,21.8,3.07
22.72,36.27,5.26
17.8,25.71,4.37
19.53,30.76,3.18
27.6,44.5,1.97
19.42,29.81,2.18
19.79,32.22,3.24
17.85,24.84,5.31
17.08,25.48,6.21
19.15,30,4.75
26.03,40.01,7.65
28.32,47.1,6.65
20.32,30.26,5.67
20.69,32.64,2.34
23.03,31.81,8.19
16.36,22.73,2.76
12.56,14.3,4.91
20.19,36.28,5.24
22.45,33.75,7.52
22.21,36.21,1.7
20.31,31.37,2.23
25.81,47.54,7.35
19.5,29.79,3.05
17.79,25.05,2.78
9.7,5.48,1.9
27.75,49.85,2.99
14.58,18.47,2.23
