price,duration,wait_time
30.84,56.96,1.6
22.62,34.67,2.3
21.77,37.72,3.32
21.05,30.48,6.27
18.34,31.98,3.04
20.63,32.97,5.09
15.49,22.82,6.12
26.38,48.44,13.07
21.45,37.22,1.99
17,25.99,10.2
22.24,36.51,2.74
21.56,33.01,6.26
24.1,43.32,2.96
31.9,58.36,2.91
15.57,20.82,2.79
22.65,41.22,8.26
22.01,37.86,6.24
15.14,22.21,4.6
28.16,46.09,4.38
17.15,25.76,3.05
22.39,37.03,3.48
28.46,44.61,3.89
15.48,19.4,5.06
28.27,51.61,5.71
26.57,44.79,2.71
18.62,24.69,3.07
17.16,25.89,2.07
23.19,36.57,6.59
17.07,24.78,1.59
13.54,16.53,2.52
17.18,27.57,3.24
21.91,33.01,2.03
30.95,54.98,4.51
20.66,34.5,3.66
19.15,31.93,2.43
24.62,37.76,5.3
23.7,43.03,1.99
21.48,35.31,4.21
8.33,6.48,8.06
24.4,40.48,1.62
26.75,43.03,1.71
15.58,19.94,1.61
25.46,40.36,2.9
16.72,24.18,1.75
22.91,41.55,5.25
16.71,23.19,2.28
18.28,27.6,2.28
18.06,30.81,2.43
26.85,47.32,5.89
17.32,30.73,6.4
20.32,31.61,6.75
20.32,27.3,7.62
23.17,33.93,1.58
28.02,47.34,7.91
21.57,36.78,1.85
18.56,27.3,2.64
17.89,26.68,6.06
27.85,48.65,2.52
21.98,36.37,3.46
12.39,20.85,4.21
26.26,45.62,2.67
15.53,21.86,3.22
21.67,32.57,5.73
21.99,35.26,23.63
19.37,29.91,3.05
28.35,47.37,8.47
18.66,28.24,2.65
20.2,30.36,8.34
20.3,32.29,1.61
19.65,32.89,2.44
13.94,15.28,3.49
10.94,11.56,2.74
21,34.72,3.54
19.93,32.11,3.56
26,43.12,3.52
18.01,26.61,2.38
28.45,46.54,3.67
13.58,18.99,2.21
26.38,42.35,2.44
16.48,25.82,2.35
12.82,17.35,2.3
18.14,27.85,6.39
26.27,45.34,3.31
22.86,36.44,2.71
17.17,25.03,2.3
16.83,28.38,3.81
16.95,26.49,4.54
23.22,34.66,12.36
12.05,10.79,8.23
17.78,28.72,5.78
21.84,33.95,3.04
25.93,42.07,1.63
15.88,20.81,2.93
27.7,46.6,4.17
24.01,39.84,10.2
17.47,23.88,2.95
21.14,32.96,3.48
11.59,14.68,4.85
18.37,27.39,3.95
19.09,29.71,5.89
