price,duration,wait_time
12.74,16.54,2.61
24.71,44.88,6.07
11.27,11.7,1.76
20.86,33.17,3.95
16.37,24.38,4.07
14.42,17.62,3.62
19.51,28.22,1.54
17.89,28.77,9.01
15.88,21.29,4.3
14.81,14.6,5.42
17.67,28.33,4.74
22.76,38.58,5.84
14,18.37,2.64
20.08,33.19,1.87
18.8,27.13,2.8
25.59,43.91,6.93
21,33.24,2.26
15.1,22.14,1.51
22.17,36.89,5.27
12.64,15.36,2.12
12.02,13.81,2.89
14.33,20.17,4.16
17.99,27.31,2.67
8.24,7.42,7.09
21.52,35.13,6.96
25.11,42.67,9.46
22.16,33.29,1.65
19.9,31.41,5.02
21.73,37.49,2.28
10.76,8.41,2.64
19.38,30.63,2.74
17.74,23.54,4.09
19.7,26.57,3.93
18.76,30.21,1.66
19.99,32.15,2.3
20.29,29.2,1.72
22.38,36.09,1.74
15.54,24.64,7.36
28.17,50.19,2.95
18.72,29.58,8.21
20.9,29.81,4.73
26.74,44.95,2.82
21.38,34.63,9.19
16.5,27.22,2.12
19.27,28.82,2.8
14.43,22.31,2.9
12.1,11.32,4.95
13.06,19.96,6.52
24.42,42.03,1.99
19.97,34.7,3.54
20.1,31.78,9.27
17.57,23.48,5.46
18.85,31.79,4.26
11.55,18,2.63
17.37,29.75,5.07
11.94,11.47,2.93
22.37,36.91,2.61
24.34,36.89,1.99
27.57,47.02,4.22
22.63,37.88,3.34
16.32,27.59,1.81
20.72,35.1,3.52
15.18,21.76,6.04
16.97,24.62,1.6
21.72,33.76,8.65
24.23,37.66,1.98
16.3,23.88,3.04
12.93,15.45,1.53
14.02,20.48,7.33
18.52,27.27,4.05
21.22,36.44,7.67
12.87,14.43,3.69
27.41,46.4,1.76
19.16,28.21,4.62
22.26,37.42,4.4
21.15,36.32,1.83
19.54,29.99,6.45
19.91,28.03,3.27
24.84,38.65,1.83
17.95,28.92,1.78
17.86,27.07,4.43
23.62,38.61,5.52
17.42,25.41,6.07
21.48,34.38,1.98
15.96,22.48,1.55
17.81,26.05,12.43
17.01,27.7,2.83
16.72,25.78,1.78
18.41,29.19,1.86
14.78,20.52,3.7
23.93,40.95,6.03
18.61,29.11,9.1
14.94,21.31,3.88
19.24,30.19,8.69
12.6,17.69,3.68
21.87,35.28,3.48
16.36,19.24,4.23
12.11,18.23,2.2
23.31,40.29,2
16.94,24.65,1.94
