price,duration,wait_time
17.64,28.58,1.66
19.18,29.34,4.96
11.75,14.12,3.44
13.59,22.64,4.27
20.83,34.5,7.82
25.35,43.67,2.5
12.67,16.37,3.83
19.42,30.42,2.26
18.94,29.74,1.77
17.67,26.38,2.37
21.3,33.48,1.79
27.47,44.83,2.93
15.86,22.09,1.54
23.95,39.06,4.88
23.05,37.05,3
25.57,41.72,2.7
20.27,30.25,4.03
21.54,28.58,3.17
16.19,24.56,4.1
27.82,48.76,2
19.7,28.06,3.16
15.98,22.43,6.03
16.53,25.74,2.84
11.93,14.47,2.86
25.93,43.74,3.82
21.65,35.12,1.7
19.72,27.58,5.54
16.53,23.32,2.06
19.76,36,5.46
18.1,26.44,3.67
15.23,23.87,9.68
19.59,31.14,1.78
19.37,28.15,16.26
21.65,35.88,3.42
21.22,32.1,1.9
26.02,43.37,1.9
19.51,29.59,6.88
10.45,10.61,1.66
18.02,26.01,3.59
17.69,25.37,2.71
25.09,40.83,2.97
20.25,32.82,6.88
24.68,40.44,4.74
15.22,23.45,1.71
20.61,26.48,4.63
17.87,24.73,5.09
18.73,27.97,2.61
22.44,39.31,12.89
14.85,18.9,6.93
12.39,13.48,2.11
16.79,23.56,3.88
12.54,16.57,3.83
16.96,24.9,2.55
12.24,15.77,6.46
21.47,35.73,2.28
23.48,38.43,5.74
21.61,36.77,2.88
24.53,36.04,2.79
19.63,33.66,11.6
19.32,27.54,5.57
24.99,41.74,1.93
19.89,29.09,7.21
15.11,20.81,5.46
21.17,35.12,4.18
16.86,24.76,3.49
19.79,30.08,3.11
18.9,27.97,3.82
15.18,14.73,3.42
11.92,14.59,3.48
22.61,34.4,1.81
13.07,18.27,2.59
28.29,51.98,3.69
22.19,33.21,2.28
22.07,34.89,14.74
10.78,15.49,3.69
18.96,31.02,3.36
14.07,19.11,6.29
19.27,30.85,3.67
18.93,27.68,5.37
15.95,21.39,2.82
11.02,14.2,3.03
18.18,25.51,7.79
27.41,46.02,2.52
14.55,16.45,3.32
22.85,35.53,1.72
13.1,14.86,1.71
25.98,45.49,21.35
19.63,29.87,3.11
16.85,26.1,2.26
24.62,37.82,2.09
20.56,30.45,4.04
21.53,36.6,3.75
28.46,48.58,11.06
19.63,31.04,3
25.64,45.92,7.39
12.93,14.66,1.55
22.62,38.37,5.89
14.4,21.86,4.47
31.38,56.96,3.68
18.8,26.44,1.94
