price,duration,wait_time
26.97,46.76,1.86
22.48,40.55,7.93
17.47,28.54,2.05
9.86,7.42,5.95
26.62,50.77,4.75
18.2,27.58,5.29
14.25,17.22,2.54
15.01,20.77,9.68
22.79,38.41,2.44
18.93,26.13,3.1
19.08,32.33,2.85
13.9,17.31,4.22
22.14,34.36,4.22
15.15,22.51,4.73
25.64,42.47,6.17
12.56,13.56,9.99
20.82,29.37,3.37
21.17,37.63,4.03
18.13,28.35,5.64
21.85,37.86,5
20.83,33.98,4.55
23.72,38.64,2.37
22.07,37.44,1.98
20.63,31.36,6.19
16.42,21.68,5.5
24.71,45.4,9.36
13.57,18.59,2.72
26.92,45.27,9.48
15.79,21.81,5.96
16.7,23.01,2.67
32.08,57.37,2.32
15.46,21.05,8.27
13.18,12.64,2.65
17.16,24.8,3.02
21.22,32.72,3.61
16.46,25.74,1.61
20.48,35.32,3.46
22.82,35.58,5.33
24.47,40.54,1.51
16.14,23.81,5.33
18.2,26.7,1.72
21.24,35.79,3.27
21.99,33.55,2.39
14.27,17.57,2.75
17.61,24.95,4.64
22.08,31.87,2.14
20.34,29.56,2.94
22.23,35.3,2.89
18.86,28.8,5.49
18.7,32.43,10.59
22.15,36.44,7.34
21.43,35.3,2.73
15.21,20.78,2.24
18.77,29.57,1.89
16.58,26.86,3.38
23.99,38.95,2.2
11.93,12.22,2.42
17.73,28.41,6.63
18.45,29.72,2.66
16.57,28.57,7.55
12.21,16.27,10.91
15.47,23.89,13.04
22.75,38.89,4.39
19.24,28.91,1.94
13.51,18.62,2.36
21.78,36.38,4.94
25.4,43.51,3.07
12.05,13.79,2.46
20.89,34.06,1.61
15.46,21.15,1.53
19.89,36.22,6.55
16.99,25.92,2.86
16.29,21.16,8.08
19.06,31.08,3.86
30.56,54.48,2.25
16.36,26.15,2.19
24.99,43.27,3.46
21.89,35.93,2.01
15.06,20.44,9.24
11.3,10.6,3.11
12.25,18.42,2.47
15.16,19.14,6.25
24.74,42.49,2.47
24.16,41.08,10.34
22.79,38.61,2.4
13.69,12.42,3.12
19.54,31.05,3.16
16.64,25.31,8.68
16.25,20.39,1.75
14.43,22.66,1.56
25.19,44.25,1.9
18.59,29.39,4.76
14.68,20.87,2.92
24.4,38.6,12.48
16.05,20.62,3.96
14.34,16.36,2.17
19.19,31.86,5.58
27.09,47.92,13.68
18.61,27.91,2.46
25.96,41.1,1.74
