price,duration,wait_time
16.2,24.31,9.3
19.18,27.44,3.45
23.82,38.52,17.41
12.4,19.29,3.54
21.2,37.26,2.58
12.15,10.98,2.67
22.45,36.55,2.61
21.68,32.26,2.53
21.07,38.33,2.33
17.33,25.95,8.17
17.7,25.35,7.05
24.13,42.87,1.64
18.71,32.1,3.38
22.36,38.4,3
26.42,45.26,5.39
20.9,30.95,1.76
18.14,26.88,1.53
23.71,36.82,2.41
11.46,13.65,4.27
23.27,39.59,4.1
19.73,30.74,7.13
16.33,23.4,1.69
24.51,38.32,8.78
18.03,27.88,3.55
7.56,3.04,4.03
21.97,33.96,1.66
17.54,23.95,1.69
31.89,57.01,5.16
16.94,21.76,4.49
22.62,40.67,4.32
26.78,42.52,7.17
20.82,35.93,4.7
16.37,22.19,3.37
23.56,35.88,3.02
21.23,32.66,1.93
14.48,21.9,6.13
29.12,49.41,1.79
18.42,27.26,1.76
14.9,19.97,4.26
20.77,32.46,3.39
20.19,32.24,2.72
17.25,24.75,3.47
22.13,36.7,2.24
18.75,31.67,2.06
25.85,39.33,2.09
15.26,22.27,3.99
27.25,47.33,3.87
27.36,43.16,2.85
22.57,36.75,3.55
17.18,24.59,10.45
14.35,14.34,2.04
23.48,36.38,3.27
22.08,36.13,2.85
15.5,19.58,1.7
19.88,30.35,3.68
17.46,25.11,2.59
24.16,37.53,4.57
19.79,30.86,3.56
18.52,28.96,2.11
15.28,20.99,3.16
13.97,17.42,10.03
24.85,42.54,4.67
15.83,21.27,11.23
26.55,43.51,2.18
14.55,21.17,2.25
23.14,40,3.99
17.25,27.39,4.99
27.1,47.91,1.69
23.62,38.73,5.88
12.5,10.2,4.08
23.36,36.16,3.73
10.37,7.62,3.3
20.64,32.89,9.74
22.02,37.8,3.15
22.92,36.98,6.79
12.6,16.58,1.78
13.4,15.62,8.36
13.07,18.99,5.43
24.31,39.93,3.28
16.39,21.27,8.92
23.96,38.27,2.96
20.49,33.8,5.8
17.29,26.22,1.65
20.37,30.61,1.93
18,29.19,5.98
20.45,32.39,5.02
21.01,31.3,1.86
25.42,43.76,3.46
14.91,17.83,4.04
23.89,36.24,7.24
20.78,29.78,5.62
17.49,26.91,3.71
16.8,22.96,4.84
22.34,38.17,5.75
20.39,35.43,8.03
19.42,28.88,1.67
15.15,19.34,5.33
20.86,38.41,1.7
16.33,27.08,2.94
25.9,46.02,5.48
