price,duration,wait_time
15.28,21.37,4.56
16.25,19.89,1.55
10.64,11.37,5.63
18.97,28.06,3.06
20.06,35.76,3.75
17.84,30.04,3.44
22.66,39.75,4.43
15.07,20.93,6.16
18.74,25.56,2.46
21.37,36.24,5.76
25.92,41.89,6.53
19.34,32.24,1.7
13.97,20.54,8.1
15.16,19.14,6.25
26.68,44.67,4
11.06,12.02,2.79
27.01,44.78,2.06
28.52,48.89,2.7
16.5,26.5,5.14
20.78,32.36,1.74
25.88,43.27,1.99
21.03,32.77,6.41
23.59,38.6,7.55
12.88,19.77,8.62
14.97,18.65,2.66
21.58,37.61,6.88
17.22,22.72,2.89
19.13,32.33,4.26
17.47,24.49,4.58
16.06,21.07,2.08
19.21,26.01,2.1
20.35,30.72,1.6
14.61,21.79,2.78
23.1,32.46,2.05
18.16,28.85,2.39
22.15,37.74,6.95
22.85,37.93,4.47
20.61,33.6,8.21
18,27.03,2.57
24.77,41,3.28
23.76,43.2,12.32
27.24,43.74,3.89
25.65,45.02,3.67
23.64,39.49,8.25
21.49,31.48,3.19
26.11,47.78,2.88
13.03,14.38,2.39
27.45,45.51,5.69
15.4,23.21,1.72
18.7,28.03,10.07
20.62,33.53,5.74
21.38,32.52,5.01
18.03,26.69,5.82
14.66,17.45,4.11
19.06,29.32,5
20.36,36.13,15.55
16.96,22.91,6.52
13.12,16.46,5.91
19.52,31.99,2.43
20.65,32.57,4.13
21.8,35.91,1.6
33.48,60.46,7.4
15.56,22.8,7.28
22.74,37.93,3.14
17.85,26.74,10.26
15.9,20.42,2.54
16.4,23.4,11.32
18.63,31.29,2.78
22.06,35.21,2.51
21.82,33.96,3.49
18.71,28.04,1.84
24.18,39.98,2.45
21.64,33.7,1.56
19.14,30.28,4.38
28.48,45.37,5.95
21,33.21,2.92
16.73,25.31,5.23
12.57,16.29,1.95
17.42,28.35,1.53
18.52,27.74,2.11
28.24,50.53,3.01
16.28,22.42,5.96
16.68,22.92,2.21
18.63,29.46,7.01
14.78,22.92,3.27
23.41,38.73,4.82
17.39,30.34,2.49
26.07,44.3,2.99
20.2,35.59,2.8
22.52,36.17,2.68
24.4,40.55,2.85
19.37,30.35,3.02
16.72,26.04,2.56
16.99,25.58,2.67
18.8,24.26,6.14
19.25,29.44,10.5
16.21,25.68,2.55
12.22,12.02,5.17
17.15,23.22,7.55
20.07,31.1,5.91
